line_no,text,lg,l_id,folio,col,speaker
1,POurce que de bn̄ faire Ne puet nul mal venir,1,l-215v-1-1,215v,1,
2,Veil d'un fait m՚ueilleꝰ Ma parole tenir,1,l-215v-1-2,215v,1,
3,/La vierge qui de grace Set les ſiens raemplir,1,l-215v-1-3,215v,1,
4,Gart treſtouz ceulz ⁊ celles Qⁱ nous voudꝛont oir,1,l-215v-1-4,215v,1,
5,DOuce gent escroniq՚s De /.s՚. denis en/france.,2,l-215v-1-5,215v,1,
6,Voit on ml՚t de m՚ueilles Mais ſachez ſanz doutāce,2,l-215v-1-6,215v,1,
7,Celles de/rōme ſont; De trop plus gñt ſuſtance.,2,l-215v-1-7,215v,1,
8,S'en oꝛrez ſ'il vous plaiſt Belle ſenefiance.,2,l-215v-1-8,215v,1,
9,UNe noble pucelle Plainne de gñt biauté,3,l-215v-1-9,215v,1,
10,Fille fu l'emperere; De /romme la cité,3,l-215v-1-10,215v,1,
11,Qui ſouffri en ceſt ſiecle Tant de gñt cruauté,3,l-215v-1-11,215v,1,
12,N'eſt nulz ſ'il oit retraire Qⁱ n'en ait gñt pitié,3,l-215v-1-12,215v,1,
13,CElle gentil pucelle Fu nommee flourence.,4,l-215v-1-13,215v,1,
14,Qⁱ ml՚t ot a ſſouffrir De cruel peſtilence,4,l-215v-2-1,215v,2,
15,En dieu ſeruir auoit Bien miſe ſ'eſperance,4,l-215v-2-2,215v,2,
16,Des que n'ot que .x. ans Ot bonne conſcience,4,l-215v-2-3,215v,2,
17,ET voua a/ih՚ucriſt Q՚ iamais en ſauie,5,l-215v-2-4,215v,2,
18,N'auroit a homme nul Charnelle ꝯ paignie.,5,l-215v-2-5,215v,2,
19,Puis fu ele pariure S'en ot tant de hachie,5,l-215v-2-6,215v,2,
20,Q՚ l'eſcripture dit De ce ne doutez mie,5,l-215v-2-7,215v,2,
21,C'Onques n'en ot tant fem̄e Elle fu eſleue,6,l-215v-2-8,215v,2,
22,A la plus bele choſe Qui adont fuſt veue,6,l-215v-2-9,215v,2,
23,Cōment qu'elle feüſt D'oꝛ ⁊ de ſoie veſtue,6,l-215v-2-10,215v,2,
24,S'auoit elle la harre Tout enpꝛés ſa char nue.,6,l-215v-2-11,215v,2,
25,AVecques la bonté ⁊ la uraie pensee,7,l-215v-2-12,215v,2,
26,Liot nr՚e ſeignour Si gñt biauté donnee,7,l-215v-2-13,215v,2,
27,Par toutes terres fu De li la renommee,7,l-215v-2-14,215v,2,
28,.I. roy la voult auoir A moullier eſpouſee,7,l-215v-2-15,215v,2,
29,LA pucelle qui n'ot ſoīg De nul charnel deſirs,8,l-215v-2-16,215v,2,
30,Et qui ot ſon cuer mis Ou /tres douz ih՚ucris,8,l-215v-2-17,215v,2,
31,Ne le vout eſpouſer Li roys ot tel deſpis,8,l-215v-2-18,215v,2,
32,Par ml՚t fier mautalent Iura touz ſes amis.,8,l-215v-2-19,215v,2,
33,DOnt puis conuint Maīt hōme a gñt dolour fenir,9,l-216r-1-1,216r,1,
34,La pucelle meiſmes En ot tant aſſouffrir,9,l-216r-1-2,216r,1,
35,C'onques n'en ot plus fem̄e Ce croi ie ſanz moꝛir,9,l-216r-1-3,216r,1,
36,Ainſſi ꝯ vous oꝛrez Se me voulez oir,9,l-216r-1-4,216r,1,
37,CAr le roy que ie di Tout ſon eſfoꝛs manda,10,l-216r-1-5,216r,1,
38,En l'empire de /rōme Fierement ſe bouta,10,l-216r-1-6,216r,1,
39,Par foꝛce la pucelle Ml՚t bn̄ auoir cuida,10,l-216r-1-7,216r,1,
40,Mais ſon pere ꝯ pꝛeuz En contre li ala,10,l-216r-1-8,216r,1,
41,A l'aſſambler d'eulz ot Ml՚t m՚ueilleuz eſtour,11,l-216r-1-9,216r,1,
42,Le pere la pucelle Y fu nauré ce iour,11,l-216r-1-10,216r,1,
43,D'un Carrel en ſon chief Paſmez fu de doulour,11,l-216r-1-11,216r,1,
44,Ses hōmes l'en menerent A /romme la maiour,11,l-216r-1-12,216r,1,
45,LEs barons de la terre Firent gñt deſconfoꝛt,12,l-216r-1-13,216r,1,
46,Pour ce que l'emperere Eſtoit naurez amoꝛt,12,l-216r-1-14,216r,1,
47,Sa fille la pucelle Demenoit duel trop foꝛt,12,l-216r-1-15,216r,1,
48,Son pere li diſt fille Ꝑ foi vous auez toꝛt,12,l-216r-1-16,216r,1,
49,QVant plourez deuant moi Car vous me faites pis,13,l-216r-1-17,216r,1,
50,Q՚ le mal que ie ſent Le roy de paradis,13,l-216r-1-18,216r,1,
51,Vous veille ꝯ foꝛter Douce fille gentis,13,l-216r-1-19,216r,1,
