line_no,text,lg,l_id,folio,col,speaker
1,POur recoꝛdeꝛ vn dit Sui ci endꝛoit venus,1,l-1r-1-1,1r,1,
2,Dieu gart touz ceulz et celles dont ſeray entendus,1,l-1r-1-2,1r,1,
3,D'un roy vous weil parleꝛ Par qui fu maintenus,1,l-1r-1-3,1r,1,
4,Le pais d'engleterre Oꝛ eſt ſ'ame laſſus,1,l-1r-1-4,1r,1,
5,En la ioie des cieus Ou tous pourrons aleꝛ,2,l-1r-1-5,1r,1,
6,Se faiſon com le roy Dont ie uous weil parleꝛ,2,l-1r-1-6,1r,1,
7,L'eſcripture teſmoingne Que qui veult hault monteꝛ,2,l-1r-1-7,1r,1,
8,Il ne doit pas grans fais Deſus ſon col poꝛteꝛ,2,l-1r-1-8,1r,1,
9,Et c'eſt eſcript c'un riche qui ne veult dire rien,3,l-1r-1-9,1r,1,
10,N'enterroit en la gloire Ou dieu maint ⁊ li ſien,3,l-1r-1-10,1r,1,
11,Nient plus que vn chameul Ne paſſeroit pour (i) rien,3,l-1r-1-11,1r,1,
12,Par le cul d'une aguille Mes oꝛ entendez bn̄,3,l-1r-1-12,1r,1,
13,Pas ne deuons en tendꝛe que roys dus ne marchis,4,l-1r-2-1,1r,2,
14,Ou autre gent qui ſont De richeſce garnis,4,l-1r-2-2,1r,2,
15,Ne puisſent auſſi bn̄ En trer en paradis,4,l-1r-2-3,1r,2,
16,Cōme les poures gens Qui ſont touz deſſaiſſis,4,l-1r-2-4,1r,2,
17,POur tant ſans plus qu'il veulent oꝛdeneꝛ par raiſon,5,l-1r-2-5,1r,2,
18,Des bn̄s dont il ſeuoient En lapoſſeſſion,5,l-1r-2-6,1r,2,
19,Par ſaint loys de france Prouueꝛ le uous poon,5,l-1r-2-7,1r,2,
20,Et par le roy englois De qui parleꝛ voulon,5,l-1r-2-8,1r,2,
21,Bien eſt uoir que les riches Sont temptés plus foꝛment,6,l-1r-2-9,1r,2,
22,Dela char ⁊ du monde Que ceus qui n'ont nient,6,l-1r-2-10,1r,2,
23,Mes quant vn chanpion Se combat bien ſouuent,6,l-1r-2-11,1r,2,
24,Et touriours auictoire Plus grant louieꝛ atant,6,l-1r-2-12,1r,2,
25,SE les riches donnent achoiſon de pechieꝛ.,7,l-1r-2-13,1r,2,
26,Et les gens qui ſont riches S'en ſeuent bn̄ gaitieꝛ,7,l-1r-2-14,1r,2,
27,Tant doiuent il auoir De dieu plus gñt louier,7,l-1r-2-15,1r,2,
28,Les poures deſpit ſont Du ciel heritieꝛ,7,l-1r-2-16,1r,2,
29,LE philoſophie diſt C'eſt eſcript ē maint lieus,8,l-1r-2-17,1r,2,
30,Q՚ la choſe que l'onme Et la fāme ainme miex,8,l-1r-2-18,1r,2,
31,De ſon cueꝛ feꝛmement C'eſt droitement ces diex,8,l-1r-2-19,1r,2,
32,Oꝛ uoions ſ'il eſt gueres De celles ou de cieus,8,l-1v-1-1,1v,1,
33,Qui metent leur cuers plus En a maſſeꝛ auoir,9,l-1v-1-2,1v,1,
34,Qu'a ſeruir iheſucriſt Pour paradis auoir,9,l-1v-1-3,1v,1,
35,Oil dont c'eſt donmage Mes bn̄ fiſt ſon deuoir,9,l-1v-1-4,1v,1,
36,Le roy de qui la uie Vous weil ramenteuoir,9,l-1v-1-5,1v,1,
37,Il fu roy d'engleterre ⁊ duc de noꝛmendie,10,l-1v-1-6,1v,1,
38,Et d'aſſez d'autres lieus Auoit la ſeigneurie,10,l-1v-1-7,1v,1,
39,Mes il metoit ſon cuer Et toute ſ'eſtudie,10,l-1v-1-8,1v,1,
40,A ſeꝛuir iheſucriſt Et la vieꝛge marie,10,l-1v-1-9,1v,1,
41,En pais maintint ſa tr՚e Par tout eſtoit amés,11,l-1v-1-10,1v,1,
42,Pas n'eſtoient les poures En ſa court de bontés,11,l-1v-1-11,1v,1,
43,Vne pucelle pꝛiſt leroy Dont vous oꝛrés,11,l-1v-1-12,1v,1,
44,Qui de bon cuer l'ama En tendre le pourrés,11,l-1v-1-13,1v,1,
45,Elle ot non gracienne Si cōme il m'eſt auis,12,l-1v-1-14,1v,1,
46,Qu'elle eſtoit gracieuſſe ⁊ en fais et en dis,12,l-1v-1-15,1v,1,
47,Son ſeingneur ſi ſeruoit Le roy de paradis,12,l-1v-1-16,1v,1,
48,Auſſi feſſoit la dame Tout ſon cuer iot mis,12,l-1v-1-17,1v,1,
49,LE roy et la royne ſainte vie menoient,13,l-1v-1-18,1v,1,
50,Les poures mēbres dieu Parfaitement amoient,13,l-1v-1-19,1v,1,
51,Lonc temps furent ē ſemble Mes tel vſage auoient,13,l-1v-2-1,1v,2,
52,Que treſtoutes les nuis A matines aloient,13,l-1v-2-2,1v,2,
53,Paiſſiblement ueſquirent Mes que tant iauoit,14,l-1v-2-3,1v,2,
54,Que ladouce royne Nul enfant ne poꝛtoit,14,l-1v-2-4,1v,2,
55,Li cōmun d'engleterre Foꝛment en murmuroit,14,l-1v-2-5,1v,2,
56,Et diſſoient ainſi Com les dé partiroit,14,l-1v-2-6,1v,2,
57,Qñt le roy l'oÿ dire S'en fu foꝛment dolent,15,l-1v-2-7,1v,2,
58,Et iura deuant tous Qu'il n'en feroit noient,15,l-1v-2-8,1v,2,
59,Et que ia de la dame Qu'il amoit loialment,15,l-1v-2-9,1v,2,
60,Ne ſe dé partiroit Iuſques a ſon finement,15,l-1v-2-10,1v,2,
61,Adont par engleterre cōmenca lideſcoꝛs,16,l-1v-2-11,1v,2,
62,Pour ce que la royne N'ot enfant de ſon coꝛps,16,l-1v-2-12,1v,2,
63,Mes par le pleſſir dieu Qui eſt miſericoꝛs,16,l-1v-2-13,1v,2,
64,Deuint la dame enſainte On fiſt grant ioie loꝛs,16,l-1v-2-14,1v,2,
65,MEs ſachiez celle ioie N'ot gueres de duree,17,l-1v-2-15,1v,2,
66,Que la gent d'engleterre Fu puis moult tourmētee,17,l-1v-2-16,1v,2,
67,Vous oꝛrés par quel cauſe S'il vous pleſt et agree,17,l-1v-2-17,1v,2,
68,Nule plus grant meꝛueille Ne fu pieca comptee,17,l-1v-2-18,1v,2,
69,DOuce gent entendez Pour l'amour dieu meꝛci,18,l-1v-2-19,1v,2,
70,Le bon roy d'engleterre Guillaume dont ie di,18,l-2r-1-1,2r,1,
71,A matines aloit Tant qu'il auint ainſi,18,l-2r-1-2,2r,1,
72,Que la gentil Royne Foꝛment apeſanti,18,l-2r-1-3,2r,1,
73,LE roy percut ml՚t bn̄ Qu'eſtoit a peſantie,19,l-2r-1-4,2r,1,
