line_no,text,lg,l_id,folio,col,speaker
1,VN pꝛeudons pꝛiſt dame iouenne,1,l-412v-1-1,412v,1,
2,Vne ml՚t oꝛguilleuſſe dame,1,l-412v-1-2,412v,1,
3,Et ſi tres deſpiteuſſe eſtoit,1,l-412v-1-3,412v,1,
4,Q՚ riens vaincre ne la puoit,1,l-412v-1-4,412v,1,
5,Tant que par auenture auint,1,l-412v-1-5,412v,1,
6,Q՚ cel pꝛeudōme lidiſt,1,l-412v-1-6,412v,1,
7,Jouēne alons vëoir uos ueces,2,l-412v-1-7,412v,1,husband
8,L'en ifait ſentieꝛs ⁊ adꝛeces,2,l-412v-1-8,412v,1,husband
9,⁊ en nos bles ⁊ en nos pois,2,l-412v-1-9,412v,1,husband
10,L'en nous hōniſt tout nos tremois,2,l-412v-1-10,412v,1,husband
11,⁊ nous deuons ſiꝯmoi ſemble,2,l-412v-1-11,412v,1,husband
12,Eſtre ml՚t bōne gent ēſemble,2,l-412v-1-12,412v,1,husband
13,Ꝯme ionnes gēs q՚ nos sōmes,2,l-412v-1-13,412v,1,husband
14,Mout eſt oꝛ bn̄ chargie de pōmes,3,l-412v-1-14,412v,1,Jouenne
15,Vr՚e pōmieꝛ ⁊ de ml՚t blāches,3,l-412v-1-15,412v,1,Jouenne
16,Il n'a pas d'ici juſqu'a /planches,3,l-412v-1-16,412v,1,Jouenne
17,Hōme qⁱ miex reſemble faux,3,l-412v-1-17,412v,1,Jouenne
18,Mes en ging ſetu ne me faus,3,l-412v-1-18,412v,1,Jouenne
19,Ie te metrai trop bn̄ apoint.,3,l-412v-1-19,412v,1,Jouenne
20,Boi iouenne ſediex me doint,4,l-412v-1-20,412v,1,husband
21,Ioie de qñ que i'ai ou monde,4,l-412v-1-21,412v,1,husband
22,Ne par dieu outout bn̄ habōde,4,l-412v-1-22,412v,1,husband
23,Onques ne le dis ꝑ nul mal,4,l-412v-1-23,412v,1,husband
24,Car vꝰ eſtes dame loial,4,l-412v-1-24,412v,1,husband
25,Et pource vꝰ eſpouſaige,4,l-412v-2-1,412v,2,husband
26,Boi chetif las c'a potaige,5,l-412v-2-2,412v,2,Jouenne
27,Qñt vins en vr՚e ꝯpaignie,5,l-412v-2-3,412v,2,Jouenne
28,G'eſtoie blonde ⁊ bn̄ pingnie,5,l-412v-2-4,412v,2,Jouenne
29,Et fille de ml՚t bōne gent,5,l-412v-2-5,412v,2,Jouenne
30,⁊ ving bn̄ trouſſe d'argent,5,l-412v-2-6,412v,2,Jouenne
31,Ouil n'auoit point de rechāge,5,l-412v-2-7,412v,2,Jouenne
32,Et ſ'a poꝛtai ⁊ linge ⁊ lange,5,l-412v-2-8,412v,2,Jouenne
33,⁊ couſte en lit ⁊ coutepointe,5,l-412v-2-9,412v,2,Jouenne
34,Et huche ml՚t belle ⁊ ml՚t cointe,5,l-412v-2-10,412v,2,Jouenne
35,⁊ .iiij. paire d'oꝛilleꝛs,5,l-412v-2-11,412v,2,Jouenne
36,Et .v. paire de cheurechies,5,l-412v-2-12,412v,2,Jouenne
37,Me cuidiez vous ſouz piez tenir,5,l-412v-2-13,412v,2,Jouenne
38,Nenil ſi puiſſe ie venir,5,l-412v-2-14,412v,2,Jouenne
39,A la uraie confeſſion,5,l-412v-2-15,412v,2,Jouenne
40,Ie ſui bn̄ en poſſeſſion,5,l-412v-2-16,412v,2,Jouenne
41,D'eſtre touz iours dame de vꝰ,5,l-412v-2-17,412v,2,Jouenne
42,Boi iouanne ſi eſtez vous,6,l-412v-2-18,412v,2,husband
43,Et de moy ⁊ de qñque i'ai,6,l-412v-2-19,412v,2,husband
44,Voirement le ſui ⁊ ſeꝛai,7,l-412v-2-20,412v,2,Jouenne
45,Q՚ i'ai .i. art plus q՚ dëable,7,l-412v-2-21,412v,2,Jouenne
46,Iouenne cen'eſt mie fable,8,l-412v-2-22,412v,2,husband
47,Se vous voulez tenir ē ceſte,8,l-412v-2-23,412v,2,husband
48,Ia par dieu ꝑ ciſt ne ꝑ ceſte,8,l-412v-2-24,412v,2,husband
49,Ne leꝛai q՚ ie ne m'i tieingne,9,l-412v-2-25,412v,2,Jouenne
50,⁊ mau gñt damage me veigne,9,l-412v-2-26,412v,2,Jouenne
51,Se vous n'eſtes coups ſeievif,9,l-412v-2-27,412v,2,Jouenne
52,Iouenne auſſi eſt le baillif,10,l-412v-2-28,412v,2,husband
53,Ꝑ auenture ⁊ le viconte,10,l-412v-2-29,412v,2,husband
54,Mes pꝛeudefame qⁱ criēt honte,10,l-412v-2-30,412v,2,husband
55,Se doit tenir a ſon ſeaignoꝛ,10,l-412v-2-31,412v,2,husband
56,Oꝛe iouenne ꝑ amoꝛ,10,l-412v-2-32,412v,2,husband
57,⁊ pour ſainte natiuite,10,l-412v-2-33,412v,2,husband
58,Ne me tenez pas en vite,10,l-412v-2-34,412v,2,husband
59,Ie ſui ionne ⁊ gñt ⁊ foꝛt,10,l-412v-2-35,412v,2,husband
60,Auis m'eſt q՚ uous toꝛt,10,l-412v-2-36,412v,2,husband
61,D cōmancieꝛ ſi male uie,10,l-412v-2-37,412v,2,husband
62,Eſfondu ſoiez vous ē abiſme,11,l-412v-2-38,412v,2,Jouenne
63,Ce faites vous qui cōmanciez,11,l-413r-1-1,413r,1,Jouenne
64,Mes vous en ſeꝛez courouciez,11,l-413r-1-2,413r,1,Jouenne
65,En la fin ou ie ifaudꝛai,11,l-413r-1-3,413r,1,Jouenne
66,Car touz iours miex de vꝰ vaudꝛai,11,l-413r-1-4,413r,1,Jouenne
67,⁊ iront mes raiſons auant,11,l-413r-1-5,413r,1,Jouenne
68,Ie l'ay voue oꝛ m'en auant,11,l-413r-1-6,413r,1,Jouenne
69,Celui qui bn̄ faire lepuet,11,l-413r-1-7,413r,1,Jouenne
70,Oꝛe iouenne il vous eſtuet,12,l-413r-1-8,413r,1,husband
71,Cuire des pois car ie m'ē uois,12,l-413r-1-9,413r,1,husband
72,Atandez mous n'ē poues mois,12,l-413r-1-10,413r,1,husband
73,Pois aurés vꝰ ꝑ auanture,12,l-413r-1-11,413r,1,husband
74,⁊ diex me doint male auēture,12,l-413r-1-12,413r,1,husband
75,Se vꝰ n'auez de la poꝛee,12,l-413r-1-13,413r,1,husband
76,Sien ſui ie mal eſtoꝛee,12,l-413r-1-14,413r,1,husband
77,Mes c'eſt pour faire lerebours,12,l-413r-1-15,413r,1,husband
78,⁊ me deuſſieꝛ cōme .i. ours,12,l-413r-1-16,413r,1,husband
79,Batre ſi feꝛai ie la dame,12,l-413r-1-17,413r,1,husband
80,Vaudꝛa oꝛ miex hōme q՚ fame,12,l-413r-1-18,413r,1,husband
81,Ꝑ dëable qui ſe pendi,12,l-413r-1-19,413r,1,husband
82,Nenil voir dieu le deſfendi,13,l-413r-1-20,413r,1,Jouenne
83,C'eſt oꝛe le plus ⁊ le mains,13,l-413r-1-21,413r,1,Jouenne
84,Q՚ miex valent mes blāches maīs,13,l-413r-1-22,413r,1,Jouenne
85,⁊ mes biaus bꝛas ⁊ ma figure,13,l-413r-1-23,413r,1,Jouenne
86,Damage eſt qñt tel creature,13,l-413r-1-24,413r,1,Jouenne
87,Eſpouſſa onc tel rodoen,13,l-413r-1-25,413r,1,Jouenne
88,Hé; mal meleuaſſe ie ouen,14,l-413r-1-26,413r,1,husband
89,Qñt onc eſpouſſai ceſte fole,14,l-413r-1-27,413r,1,husband
90,Et /le bon baron .s՚. nicole,14,l-413r-1-28,413r,1,husband
91,M'en deliure c'el ne ſ'a mende,14,l-413r-1-29,413r,1,husband
92,Agua chie oꝛ faut ci bende,15,l-413r-1-30,413r,1,Jouenne
93,Trop ſui bōne aton eus,15,l-413r-1-31,413r,1,Jouenne
94,Car tu ne vaus ne tu ne pues,15,l-413r-1-32,413r,1,Jouenne
95,Foꝛs tant com ie te fais valoir,15,l-413r-1-33,413r,1,Jouenne
96,Ceꝛtes trop te pourras douloir,15,l-413r-1-34,413r,1,Jouenne
97,Qñt de partir nous couendꝛa,15,l-413r-1-35,413r,1,Jouenne
98,⁊ ceꝛtes par tans auendꝛa,15,l-413r-1-36,413r,1,Jouenne
99,Sele ceꝛuel m'eſmuet .i. poi,15,l-413r-1-37,413r,1,Jouenne
100,Avoi dame iouenne avoy,16,l-413r-1-38,413r,1,husband
101,Souſfres en coꝛe vr՚e engoiſſe,16,l-413r-2-1,413r,2,husband
102,Qⁱ me tient oꝛe q՚ ne telaiſſe,16,l-413r-2-2,413r,2,husband
103,De ma quenouille coup pullāt,16,l-413r-2-3,413r,2,husband
104,Ꝑ dieu ie te feꝛai ſullant,16,l-413r-2-4,413r,2,husband
105,Le front ⁊ le muſſel de duel,16,l-413r-2-5,413r,2,husband
106,Ie voudꝛoie mourir mō weil,17,l-413r-2-6,413r,2,Jouenne
107,Qñt ie regarde mabiauté,17,l-413r-2-7,413r,2,Jouenne
108,Et ie te feꝛai loiauté,17,l-413r-2-8,413r,2,Jouenne
109,Ceꝛtes dëables le veꝛront,17,l-413r-2-9,413r,2,Jouenne
110,⁊ ou ſont ceus qⁱ ceſeꝛont,17,l-413r-2-10,413r,2,Jouenne
111,A cel mengieꝛ ia dieu n'i veīgne,17,l-413r-2-11,413r,2,Jouenne
112,Boi iouenne ſediex me doīt,18,l-413r-2-12,413r,2,husband
113,Qⁱ ioie ⁊ ſanté vous doint,18,l-413r-2-13,413r,2,husband
114,Sont les pois bn̄ ſalez apoint,18,l-413r-2-14,413r,2,husband
115,Q՚ ie vous cōmandai afaire,18,l-413r-2-15,413r,2,husband
116,C'eſt .i. mes qui trop me puet plaire,18,l-413r-2-16,413r,2,husband
117,Ie n'ai touz iours eſté noꝛri,18,l-413r-2-17,413r,2,husband
118,Par dieu vilain meſiau poꝛri,19,l-413r-2-18,413r,2,Jouenne
119,Tu n'i auras ne pois ne feue,19,l-413r-2-19,413r,2,Jouenne
120,Enciez changeꝛai .i. poi d'eue,19,l-413r-2-20,413r,2,Jouenne
121,A ur՚e poꝛee eſloignieꝛ,19,l-413r-2-21,413r,2,Jouenne
122,Oꝛ toſt trop pouez polognieꝛ,20,l-413r-2-22,413r,2,husband
123,En non dieu iouenne il m'anuie,20,l-413r-2-23,413r,2,husband
124,Benoit ſoit ceque on eſtuie,20,l-413r-2-24,413r,2,husband
125,C'eſt delapoꝛee d'eꝛſoir,20,l-413r-2-25,413r,2,husband
126,Par dieu vꝰ ne dites pas voir,21,l-413r-2-26,413r,2,Jouenne
127,Ainz mentez ꝑmi la guargate,21,l-413r-2-27,413r,2,Jouenne
128,Mengiez ant plaine ceſte ia te,21,l-413r-2-28,413r,2,Jouenne
129,Ia ne vꝰ iſſe elle (elle )du vētre,21,l-413r-2-29,413r,2,Jouenne
130,Tenez paſſion vꝰ ientre,21,l-413r-2-30,413r,2,Jouenne
131,Qⁱ vꝰ rut moꝛt enmi ceſte eꝛe,21,l-413r-2-31,413r,2,Jouenne
132,Oꝛ iouenne il me conuiēt taire,22,l-413r-2-32,413r,2,husband
133,Il m'eſt auis q՚ c'eſt du miex,22,l-413r-2-33,413r,2,husband
134,Vous dites voir ſi m'aiſt diex,23,l-413r-2-34,413r,2,Jouenne
135,Vꝰ ſauez bn̄ qu'eſtre conuiēt,23,l-413r-2-35,413r,2,Jouenne
136,Debonnaire qñt plꝰ foꝛ viēt,23,l-413r-2-36,413r,2,Jouenne
137,Et tāt plus en grouceꝛiez,23,l-413r-2-37,413r,2,Jouenne
138,⁊ tant plus q՚ folz feꝛiez,23,l-413r-2-38,413r,2,Jouenne
139,Oꝛſus vous eſtez trop ſaoul,23,l-413v-1-1,413v,1,Jouenne
140,Q՚ fuſt cil a /chaſtiau raoul,23,l-413v-1-2,413v,1,Jouenne
141,Qⁱ de nous .ij. fiſt l'aſemblee,23,l-413v-1-3,413v,1,Jouenne
