line_no,text,lg,l_id,folio,col,speaker
1,EN l'onneur De marchéandie,1,l-261v-2-6,261v,2,
2,M'eſt pꝛis talent que ie vous die,1,l-261v-2-7,261v,2,
3,Se il voꝰ plaiſt .i. nouuel dit,1,l-261v-2-8,261v,2,
4,Bōne gent ce eſt dulē dit,1,l-261v-2-9,261v,2,
5,La plus roial foire dumōde,1,l-261v-2-10,261v,2,
6,Si ꝯ diex l'a fait a laronde,1,l-261v-2-11,261v,2,
7,Pꝰ q՚ g'i ai mētencion,1,l-261v-2-12,261v,2,
8,P՚merain la pour ceſſion,1,l-261v-2-13,261v,2,
9,De /nr՚e dame de /paris,1,l-261v-2-14,261v,2,
10,Y viēt q՚ dieu gart de peris,1,l-261v-2-15,261v,2,
11,Toꝰ les bons m̃cheans qͥ y sōt,1,l-261v-2-16,261v,2,
12,Qⁱ les gñz richeſces yont,1,l-262r-1-1,262r,1,
13,Q՚ diex les puiſt toꝰ auancier,1,l-262r-1-2,262r,1,
14,L'eueſq՚ ou le penancier,1,l-262r-1-3,262r,1,
15,Leur fet de dieu beneiſon,1,l-262r-1-4,262r,1,
16,Du digne bꝛas /.s՚. ſemion,1,l-262r-1-5,262r,1,
17,Deuant ap՚s ne doit nꝰ vēdꝛe,1,l-262r-1-6,262r,1,
18,Oꝛ voꝰ voudꝛe ge faire ē tēdꝛe,1,l-262r-1-7,262r,1,
19,La fernaiſie qui me vint,1,l-262r-1-8,262r,1,
20,Qñt arimoier mecouint,1,l-262r-1-9,262r,1,
21,Au bout ꝑ de ſa regratiers,1,l-262r-1-10,262r,1,
22,Trouue barbier ⁊ ſeruoiſiers,1,l-262r-1-11,262r,1,
23,Tauerniers ⁊ pꝰ tapitiers,1,l-262r-1-12,262r,1,
24,Aſez pꝛez d'eulz ſont li merci՚,1,l-262r-1-13,262r,1,
25,A la coſté du gñt chemin,1,l-262r-1-14,262r,1,
26,Eſt la foire du ꝑ chemin,1,l-262r-1-15,262r,1,
27,⁊ ap՚s troue li pour point,1,l-262r-1-16,262r,1,
28,Dōt maīt hōme eſt veſtu apoīt,1,l-262r-1-17,262r,1,
29,⁊ plꝰ la gñt peleterie,1,l-262r-1-18,262r,1,
30,La tiretaine dōt ſimple gēt,1,l-262r-1-19,262r,1,
31,Sont reueſtu de pou d'argēt,1,l-262r-1-20,262r,1,
32,Les luigieres n'i sōt pas toutes,1,l-262r-1-21,262r,1,
33,Ie m'ē retourne ꝑ les coutes,1,l-262r-1-22,262r,1,
34,Pꝰ m'ē reuing ē vne plaine,1,l-262r-1-23,262r,1,
35,Laou l'en vent cuirs criz ⁊ laīne,1,l-262r-1-24,262r,1,
36,Pꝰ adꝛeſai au bout arrier,1,l-262r-1-25,262r,1,
37,La ou ie ꝯmencai p՚mier,1,l-262r-1-26,262r,1,
38,Ꝑ deu՚s la crois du lendit,1,l-262r-1-27,262r,1,
39,P˞ miex aꝯſeuoir mon dit,1,l-262r-1-28,262r,1,
40,M'en ving ꝑ la ferōnerie,1,l-262r-1-29,262r,1,
41,Ap՚s trouuai labaterie,1,l-262r-1-30,262r,1,
42,Coꝛdouanier ⁊ bourrelier,1,l-262r-1-31,262r,1,
43,Sellier ⁊ freinier ⁊ coꝛdier,1,l-262r-1-32,262r,1,
44,Chanure fille ⁊ coꝛdouan,1,l-262r-1-33,262r,1,
45,Aſſez yot paine ⁊ ahan,1,l-262r-1-34,262r,1,
46,Marchans qⁱ la ſont aſſāblez,1,l-262r-1-35,262r,1,
47,Faus ap՚s fauſilles ablez,1,l-262r-1-36,262r,1,
48,Si y trouuon qui les ſet q՚rre,1,l-262r-1-37,262r,1,
49,Queus d'/ardenne ⁊ d'/englet՚re,1,l-262r-1-38,262r,1,
50,Haches coignies ⁊ tarieres,1,l-262r-2-1,262r,2,
51,⁊ trenchans de pluſeurs mani՚es,1,l-262r-2-2,262r,2,
52,Moꝛtelier bancier trouuai,1,l-262r-2-3,262r,2,
53,Taneur megeis de bō cōroi,1,l-262r-2-4,262r,2,
54,Chauſier huchier ⁊ changeo˞,1,l-262r-2-5,262r,2,
55,Qⁱ ne ſont mie lemenour,1,l-262r-2-6,262r,2,
56,Il ſe ſont logie bel ⁊ gent,1,l-262r-2-7,262r,2,
57,Apꝛés ſont li iouel d'argent,1,l-262r-2-8,262r,2,
58,Qⁱ ſont ouuré d'oꝛ fauerie,1,l-262r-2-9,262r,2,
59,Come ſample gñt deſuerie,1,l-262r-2-10,262r,2,
60,Ieniui que .iij. eſpiciers,1,l-262r-2-11,262r,2,
61,⁊ ſi le mes conuient nōcier,1,l-262r-2-12,262r,2,
62,Pvis m'ē vins en vne ruelle,2,l-262r-2-13,262r,2,
63,Eſtroite ou l'en vent la telle,2,l-262r-2-14,262r,2,
64,Yceulz doiie bn̄ anoncier,2,l-262r-2-15,262r,2,
65,⁊ ap՚s le chaneuacier,2,l-262r-2-16,262r,2,
66,Aincois que ieſoie arepos,2,l-262r-2-17,262r,2,
67,Plairiaus eſcueles ⁊ pos,2,l-262r-2-18,262r,2,
68,Trouue qui ſont ouuré d'eſtaī,2,l-262r-2-19,262r,2,
69,OR dirai du meſtier hautaī,3,l-262r-2-20,262r,2,
70,Q՚ n'a matere miex apoꝛtepere,3,l-262r-2-21,262r,2,
71,C'eſt cis qui toꝰ les autres ꝑe,3,l-262r-2-22,262r,2,
72,Ce ſont li dꝛapier q՚ dieu gart,3,l-262r-2-23,262r,2,
73,Ꝑ biaus dꝛas l'alions regart,3,l-262r-2-24,262r,2,
74,Diex gart ceꝰ qui les ſeuent faire,3,l-262r-2-25,262r,2,
75,Des marchéans de bō afaire,3,l-262r-2-26,262r,2,
76,Doit on parler en toꝰ bōs lieus,3,l-262r-2-27,262r,2,
77,P˞ ce que ie ne ſoie oiſeus,3,l-262r-2-28,262r,2,
78,Voudꝛai nōmer ſelōc mō sēs,3,l-262r-2-29,262r,2,
79,Toutes les viles par aſſeus,3,l-262r-2-30,262r,2,
80,Dont la foire eſt maītenue,3,l-262r-2-31,262r,2,
81,P՚mier eſt /par՚ amentue,3,l-262r-2-32,262r,2,
82,Q՚ c'eſt du monde la meillo˞,3,l-262r-2-33,262r,2,
83,Sili doit on poꝛter honnour,3,l-262r-2-34,262r,2,
84,Toꝰ bn̄s en viennēt dꝛas ⁊ vīs,3,l-262r-2-35,262r,2,
85,Ap՚s parlerai de /pꝛouuins,3,l-262r-2-36,262r,2,
86,Vꝰ ſauez bn̄ ꝯment qͥl ſi et,3,l-262r-2-37,262r,2,
87,Q՚ c'eſt l'une des .xvij.,3,l-262r-2-38,262r,2,
88,Ap՚s /Rouen en /noꝛmēdie,3,l-262v-1-1,262v,1,
89,Oꝛ oez q՚ ie voꝰ en die,3,l-262v-1-2,262v,1,
90,Ē mō dit voꝰ amēteuurai,3,l-262v-1-3,262v,1,
91,/Gant ⁊ /ypꝛe ⁊ pꝰ /douay,3,l-262v-1-4,262v,1,
92,⁊ /maaline ⁊ /bꝛoiſelles,3,l-262v-1-5,262v,1,
93,Ie les doi bn̄ nōmer ꝯ celles,3,l-262v-1-6,262v,1,
94,Qⁱ plus belles ſon a voir,3,l-262v-1-7,262v,1,
95,Ce voꝰ fai ie bn̄ aſſauoir,3,l-262v-1-8,262v,1,
96,/Cambꝛai cité ⁊ /mon coꝛnet,3,l-262v-1-9,262v,1,
97,/Mauberge ⁊ /aués imet,3,l-262v-1-10,262v,1,
98,/Nogent le rotro ⁊ /dinein,3,l-262v-1-11,262v,1,
99,/Manneval /toꝛot ⁊ /caen,3,l-262v-1-12,262v,1,
100,/Louuiers ⁊ /bꝛeteul ⁊ /v՚ nō,3,l-262v-1-13,262v,1,
101,/Chartes /biauuais cité de nō,3,l-262v-1-14,262v,1,
102,/Eureus ⁊ /amiens noble halle,3,l-262v-1-15,262v,1,
103,⁊ /troie ⁊ /ſens ⁊ /aube malle,3,l-262v-1-16,262v,1,
104,/Endeli /doullens /.s՚. lubin,3,l-262v-1-17,262v,1,
105,S՚lon ꝯ dit en /ꝯ ſtentin,3,l-262v-1-18,262v,1,
106,⁊ /montereul deſus lam՚,3,l-262v-1-19,262v,1,
107,⁊ /.s՚. cointin ⁊ /.s՚. omer,3,l-262v-1-20,262v,1,
108,/Abeuille ⁊ /tenremonde,3,l-262v-1-21,262v,1,
109,/Chaalons ou ml՚t de pueple abōde,3,l-262v-1-22,262v,1,
110,Bons m̃cheans ⁊ plaī d'engiē,3,l-262v-1-23,262v,1,
111,/Dieſtre ap՚s ⁊ pꝰ /enguien,3,l-262v-1-24,262v,1,
112,/Louuain /popelines trouuai,3,l-262v-1-25,262v,1,
113,/Valenciennes ⁊ pꝰ /tournai,3,l-262v-1-26,262v,1,
114,/Toꝛigni ⁊ pꝰ /darneſtal,3,l-262v-1-27,262v,1,
115,⁊ ap՚s trouuai /boneval,3,l-262v-1-28,262v,1,
116,/Nogent le roy ⁊ /chaſtiaudū,3,l-262v-1-29,262v,1,
117,/Maufumier metrai ē q՚mun,3,l-262v-1-30,262v,1,
118,/Aubenton y doit eſtre bel,3,l-262v-1-31,262v,1,
119,⁊ le temple de /mōt doublel,3,l-262v-1-32,262v,1,
120,/Coꝛbie /cour terai ⁊ /erre,3,l-262v-1-33,262v,1,
121,/Baieus /chanbel M'ifaut at˜ire,3,l-262v-1-34,262v,1,
122,/Hal ⁊ /gñt mōt tret en/bꝛebāt,3,l-262v-1-35,262v,1,
123,/Boutras ⁊ gēt plein de bn̄s,3,l-262v-1-36,262v,1,
124,/Villeuoꝛt ne veul pas leſſier,3,l-262v-1-37,262v,1,
125,/Pauilli ne /moutier villier,3,l-262v-1-38,262v,1,
