line_no,text,lg,l_id,folio,col,speaker
1,Royne du mont chiez Ainſi eſt apelee,1,l-138v-2-1,138v,2,
2,/Saint ꝑe itiēt ſa clef /Saint pol itient ſ'eſpee,1,l-138v-2-2,138v,2,
3,Mais ꝑ enchātem̄t Eſt de ca trāſlatee,1,l-138v-2-3,138v,2,
4,Ou l'ē ret ⁊ rooīgne Et robe a rādōnee,1,l-138v-2-4,138v,2,
5,Le pape de /rōme eſt Souuerain de l'egliſe,2,l-138v-2-5,138v,2,
6,A qui creſtienté Eſt ſubgete et ſouſmiſe,2,l-138v-2-6,138v,2,
7,Vicaires eſt de dieu Mais en /frāce ſ'i deuiſe,2,l-138v-2-7,138v,2,
8,Diſmes de /guelphes Qⁱ ont mais n'i fu pꝛiſe,2,l-138v-2-8,138v,2,
9,D'une ꝑt il aſſault Et d'autre eſcōmenie,3,l-138v-2-9,138v,2,
10,P˞ ce q՚ de sō dꝛoit Il lye ⁊ ſi deſlie,3,l-138v-2-10,138v,2,
11,Et pape ⁊ ēꝑere Si veult q՚ l'ē le die,3,l-138v-2-11,138v,2,
12,De /loys de /bauiere Ne ſ'i acoꝛde mie,3,l-138v-2-12,138v,2,
13,Dv pape croit qu'il ſoit Saint et iuſte ꝑsōne,4,l-139r-1-1,139r,1,
14,Car le pooir de lui Ꝑ toute t՚re ſone,4,l-139r-1-2,139r,1,
15,Il fait tout biē ⁊ dꝛoit Ou ſ'il pꝛent ou ſ'i dōne,4,l-139r-1-3,139r,1,
16,Mais /guilelme geut A ce pas ne ſe dōne,4,l-139r-1-4,139r,1,
17,Prouuēdes done il Digͥtez benefices,5,l-139r-1-5,139r,1,
18,Aus riches ⁊ a ceulz Qⁱ ml՚t ont de delices,5,l-139r-1-6,139r,1,
19,Mais des clers ſouffiſans Met on biē hoꝛs des lices,5,l-139r-1-7,139r,1,
20,Qñt des fox ſages fait Et des ſages fait nices,5,l-139r-1-8,139r,1,
21,C'eſt tout dꝛoit quāque fet Ce ſeroit ſymonie,6,l-139r-1-9,139r,1,
22,Car tout ꝑtout eſt ſien Mais la poure clergié,6,l-139r-1-10,139r,1,
23,Des benefices dit Q՚ dꝛoit n'eſt pas ꝑtie,6,l-139r-1-11,139r,1,
24,Faire ⁊ defaire puet Ꝑ .j. petit d'eſcroe,7,l-139r-1-16,139r,1,
25,Auec ſes cardinaus Qⁱ font entoꝛ ſa roe,7,l-139r-1-17,139r,1,
26,(Ꝑ .i. petit d'eſcroe Auec ſes cardinaus),7,l-139r-1-18,139r,1,
27,(Qⁱ ſont en tour ſa roe [...]),7,l-139r-1-19,139r,1,
28,Mais d'aiſe n'eſt pas Cōme poiſſon qui noe,7,l-139r-1-20,139r,1,
29,Car il n'oſe ſaillir N'iſtre de ſa cadot,7,l-139r-1-21,139r,1,
30,Li frere cardinal Avirōnēt le pape,8,l-139r-1-26,139r,1,
31,Et le gardent de pꝛez Siqⁱl ne leur eſchape,8,l-139r-1-27,139r,1,
32,Mais chaſcuns d'eulz en pꝛēt Ou tout ce qͥ atrap,8,l-139r-2-1,139r,2,
33,Car qui ne puet humer Meſtier li eſt qu'il lape,8,l-139r-2-2,139r,2,
34,Cardonaꝰ ſi ſont dit Cardinaus cō cardōns,9,l-139r-2-3,139r,2,
35,Car ꝑ eulz tolt ⁊ oeure Li papes ſes ꝑdons,9,l-139r-2-4,139r,2,
36,Mais chardōs chardōnaus Interpetrent chardōs,9,l-139r-2-5,139r,2,
37,Car il eſchardent gēs Et pꝛēnēt aus lardōs,9,l-139r-2-6,139r,2,
38,Li pꝛelat ſont ſacre Et poꝛ ce font le ſacre,10,l-139r-2-7,139r,2,
39,Doien et chancelier Chātre ⁊ archedyacre,10,l-139r-2-8,139r,2,
40,Diſmes et rentes ont Et de terre maīte acre,10,l-139r-2-9,139r,2,
41,Mais de leurs bochis font Souuent diuers macacre,10,l-139r-2-10,139r,2,
42,Pour leurs egliſes ont Li p՚lat maīte paīne,11,l-139r-2-11,139r,2,
43,A tours ⁊ a palais L'en les maīne ⁊ p˞maine,11,l-139r-2-12,139r,2,
44,Mais de leurs diſmes ont,11,l-139r-2-13,139r,2,
45,Et les ſeigneurs ſouuēt Sans entamer les ſainne,11,l-139r-2-14,139r,2,
46,Li p՚lat iurent tuit garder entierem̄t,12,l-139r-2-19,139r,2,
47,Leurs dꝛois de leurs egliſes En leur ꝯmēcem̄t,12,l-139r-2-20,139r,2,
48,Mais p՚las obeiſſent Treſtout naturelm̄t,12,l-139r-2-21,139r,2,
49,Plus au roy a garder A dꝛoit leur ſerem̄t,12,l-139r-2-22,139r,2,
50,Li pꝛelat ſont paſtour poꝛ ce noꝰ conuiēt pꝛeſtre,13,l-139r-2-23,139r,2,
51,Loꝛ ſubgiez ⁊ en ce faiſant Le font congnoiſtre,13,l-139v-1-1,139v,1,
52,Leurs paſtours mais pluſoꝛs Font meſſonn՚s eſtre,13,l-139v-1-2,139v,1,
53,Veulent poꝛ leurs bꝛebis Moꝛdꝛe a deſtre a ſeneſtre,13,l-139v-1-3,139v,1,
54,Intre ces p՚las pꝛent Primas et partiarchs,14,l-139v-1-4,139v,1,
55,Qⁱ de l'autrui ſont riches Et me tient en leurs arches,14,l-139v-1-5,139v,1,
56,Mais au re ſtituer Se de rendꝛe les charges,14,l-139v-1-6,139v,1,
57,Il oent biē ſans fait Q՚lq՚ ꝑt q՚ tu marches,14,l-139v-1-7,139v,1,
58,Li clere qui ſont rente Li ſeculier chanoine,15,l-139v-1-8,139v,1,
59,Li regulier auſſi Blanc ⁊ gris ⁊ noir moine,15,l-139v-1-9,139v,1,
60,D'aumoſnes viuēt il Et du dieu patremoine,15,l-139v-1-10,139v,1,
61,Mais dire leur ſouffiſt Au mouſtier vne antoine,15,l-139v-1-11,139v,1,
62,Les benefices ont le gros Auec la greſſe,16,l-139v-1-12,139v,1,
63,Et de leur dꝛoit auec Nulz d'entr'eulz ne ſ'euneſſe,16,l-139v-1-13,139v,1,
64,Mais au mouſtier ne font Ne gñt chant ne gñt p՚ſſe,16,l-139v-1-14,139v,1,
65,Ne des poures auſſint Ne leur chaut qⁱ les peſſe,16,l-139v-1-15,139v,1,
66,Cure ꝑochial puis qⁱl a cure d'ame,17,l-139v-1-16,139v,1,
