line_no,text,lg,l_id,folio,col,speaker
1,POur ceulz qͥ ſe deſroiēt; Trop outrageuſem̄t,1,l-199r-1-1,199r,1,
2,Qñt /li ſires des ciex; Qⁱ ne fait ne ne ment,1,l-199r-1-2,199r,1,
3,Des auoirs terriens; Leur pꝛeſte largemēt,1,l-199r-1-3,199r,1,
4,Vous dirai vn example; A tous generaument;,1,l-199r-1-4,199r,1,
5,Mais il ſont ml՚t de ceulz; Qⁱ n'i veulent entendꝛe.,2,l-199r-1-5,199r,1,
6,Ains veulent en ceſt ſiecle; Si gñt oꝛgueil empꝛendꝛe,2,l-199r-1-6,199r,1,
7,Q՚ par leur auoir veulent; Tous leurs amis ſoup՚ndꝛe,2,l-199r-1-7,199r,1,
8,⁊ ne leur ſamble pas; Iamais puiſſent deſcendꝛe,2,l-199r-1-8,199r,1,
9,Ivſqu'a tant que foꝛtune; De ſa roe l'abat.,3,l-199r-1-9,199r,1,
10,Ou diex par maladie De ſa verge le bat.,3,l-199r-1-10,199r,1,
11,Loꝛs vaut pou ſon deduit; Son auoir ſon barat.,3,l-199r-1-11,199r,1,
12,Ainz eſt triſte ⁊ dolent; Humilieus et mat,3,l-199r-1-12,199r,1,
13,FOꝛtune tu es iuſte. Maint oꝛgueilleus asōmes,4,l-199r-2-1,199r,2,
14,Se nous sōmes hui ſain. Demain pas ne le sōmes.,4,l-199r-2-2,199r,2,
15,De ceſt pꝛouerbe ci. Deſcendꝛai ſur .ij. hōmes.,4,l-199r-2-3,199r,2,
16,Qⁱ aloient au bois; Buche quer՚ leur sōmes.,4,l-199r-2-4,199r,2,
17,CEs hōmes que ie di; Eſtoient artijer.,5,l-199r-2-5,199r,2,
18,⁊ ſ'eſtoient voiſin; Au temps ca en arrier.,5,l-199r-2-6,199r,2,
19,Chaſcun auoit .i. aſne; Qⁱ leur out gñt meſtier.,5,l-199r-2-7,199r,2,
20,Leur sōme ne pouoient; Vendꝛe que .vj. denier,5,l-199r-2-8,199r,2,
21,LI vns de ces aniers; Fem̄e ⁊ enfans auoit.,6,l-199r-2-9,199r,2,
22,Ꝑ quoi plus gñt deſpens; Faire li conuenoit.,6,l-199r-2-10,199r,2,
23,Ilſeleuoit matin; ⁊ ml՚t tart ſe couchoit.,6,l-199r-2-11,199r,2,
24,Du ſoir pour le matin; Riens ne li de mouroit.,6,l-199r-2-12,199r,2,
25,CIl qui n'ot nulz enfanz; Si foꝛment ſe haſta,7,l-199r-2-13,199r,2,
26,Qⁱl ot auant ſasōme; Dont ſon aſne charga.,7,l-199r-2-14,199r,2,
27,Toſt ⁊ iſnelement; A la ville ſ'en va,7,l-199r-2-15,199r,2,
28,L'autre remeſt el bois; Qⁱ foꝛt ſe dementa.,7,l-199r-2-16,199r,2,
29,L'autre remaint el bois; Triſte penſis et mas.,8,l-199r-2-17,199r,2,
30,Ml՚t ſouuent ſe ꝯplaint; ⁊ claime vilain las.,8,l-199r-2-18,199r,2,
31,Diex que poꝛreiie faire; Sire /ſaint nicholas.,8,l-199r-2-19,199r,2,
32,Ma fem̄e ⁊ mes enfans; Auront poure ſoulas.,8,l-199v-1-1,199v,1,
33,IE meiſme ⁊ ma beſte; Si moꝛrons hui de fain.,9,l-199v-1-2,199v,1,
34,⁊ ſi ne puis tenir. Ma ſarpe de ma main,9,l-199v-1-3,199v,1,
