line_no,text,lg,l_id,folio,col,speaker
1,CE fu ou moy pleſant de may,1,l-17r-1-9,17r,1,
2,Que li ſoulaus Eſpant ſon ray,1,l-17r-1-10,17r,1,
3,Et que cleꝛe eſt (Eſt )la matinee,1,l-17r-1-11,17r,1,
4,Et li rieu courēt par la pꝛee,1,l-17r-1-12,17r,1,
5,Et ꝑ le bois ⁊ par les plains,1,l-17r-1-13,17r,1,
6,Tant q՚ maint kaues ē eſt plaīs,1,l-17r-2-1,17r,2,
7,De ces ruis venās des fontaines,1,l-17r-2-2,17r,2,
8,Li oiſſel deloꝛ vois hautaines,1,l-17r-2-3,17r,2,
9,Font tentir riuieꝛes ⁊ bois,1,l-17r-2-4,17r,2,
10,Tout dꝛoit le p՚mieꝛ ioꝛ du mois,1,l-17r-2-5,17r,2,
11,De may q՚ ie ai ſus nōme,1,l-17r-2-6,17r,2,
12,En lan dela natiuite,1,l-17r-2-7,17r,2,
13,Noſtre ſeingneur mil trois cens,1,l-17r-2-8,17r,2,
14,⁊ trentehuit .i. pou penſans,1,l-17r-2-9,17r,2,
15,Tout ſeul ſus mō cheual aloie,1,l-17r-2-10,17r,2,
16,Le ſantir d'une eſtroite uoie,1,l-17r-2-11,17r,2,
17,Qⁱ a .i. bois memena dꝛoit,1,l-17r-2-12,17r,2,
18,Ne faiſſoit trop chaut ne tºp froit,1,l-17r-2-13,17r,2,
19,Ainz eꝛt cleꝛs ⁊ ſoues liours,1,l-17r-2-14,17r,2,
20,⁊ mes cheuaus ala ētours,1,l-17r-2-15,17r,2,
21,Le bois ⁊ de dēs bn̄ parfont,1,l-17r-2-16,17r,2,
22,Regardai aual et amont,1,l-17r-2-17,17r,2,
23,⁊ ne ui riens foꝛs ſeul oiſſiaus,1,l-17r-2-18,17r,2,
24,Qⁱ chantent ſus les arbꝛeſiaus,1,l-17r-2-19,17r,2,
25,A vois claretes ⁊ plaiſſans,1,l-17r-2-20,17r,2,
26,Et tant de bn̄ mefiſt loꝛ chans,1,l-17r-2-21,17r,2,
27,Q՚ dꝛoit illecques remanoir,1,l-17r-2-22,17r,2,
28,Me conuint ſifis mō manoir,1,l-17r-2-23,17r,2,
29,Dū arbꝛe haut gn̄t ⁊ foillu,1,l-17r-2-24,17r,2,
30,Si biaus nauoie mes veü,1,l-17r-2-25,17r,2,
31,Le bois regart ⁊ le tēps cleꝛ,1,l-17r-2-26,17r,2,
32,Soy le chant dont pⁱs apenſeꝛ,1,l-17r-2-27,17r,2,
33,A cel aqui i'ai tout donne,1,l-17r-2-28,17r,2,
34,Mon cueꝛ de bonne voulenté,1,l-17r-2-29,17r,2,
35,P˞ ſa biauté pour ſa valour,1,l-17r-2-30,17r,2,
36,Ie croi qĩns diex ne fiſt meilloꝛ,1,l-17r-2-31,17r,2,
37,Bn̄ ⁊ ſauoirs ꝑfaitemēt,1,l-17r-2-32,17r,2,
