line_no,text,lg,l_id,folio,col,speaker
1,N'Eſconuient pas Que ie vous conte,1,l-45v-1-1,45v,1,
2,Cōmēt ie me ſui mis a honte,1,l-45v-1-2,45v,1,
3,Car bn̄ auez oï le conte,1,l-45v-1-3,45v,1,
4,En quel manieꝛe,1,l-45v-1-4,45v,1,
5,Ie pꝛis mafame deꝛrenieꝛe,1,l-45v-1-5,45v,1,
6,Qⁱ belle ne gente ne ieꝛe,1,l-45v-1-6,45v,1,
7,Loꝛs naſqui paine,1,l-45v-1-7,45v,1,
8,Qⁱ dura plus d'ūne ſemaine,1,l-45v-1-8,45v,1,
9,Sicōmanca ē lune plaine,1,l-45v-1-9,45v,1,
10,Oꝛ entendez,1,l-45v-1-10,45v,1,
11,Vꝰ qui rime me demēdez,1,l-45v-1-11,45v,1,
12,Cōmēt ie me ſui amendez,1,l-45v-1-12,45v,1,
13,De fame pñdꝛe,1,l-45v-1-13,45v,1,
14,Oꝛ nai qñgagieꝛ neq՚ vendꝛe,1,l-45v-1-14,45v,1,
15,⁊ tant afaire,1,l-45v-1-15,45v,1,
16,Et tant dami ⁊ de ꝯtraire,1,l-45v-1-16,45v,1,
17,Q՚ qͥ le vꝰ voudꝛoit retraire,1,l-45v-1-17,45v,1,
18,Ce durroit trop,1,l-45v-1-18,45v,1,
19,Dieus ma fet ꝯpaīgnō iacob,1,l-45v-1-19,45v,1,
20,Il ma tolu a .i. ſeul cop,1,l-45v-1-20,45v,1,
21,Ce que iamoie,1,l-45v-1-21,45v,1,
22,De lueil deſtre dōt miex veoie,1,l-45v-1-22,45v,1,
23,Ne voige pas aleꝛ lauoie,1,l-45v-2-1,45v,2,
24,Ne moi conduire,1,l-45v-2-2,45v,2,
25,Ci a doleur dolente ⁊ dure,1,l-45v-2-3,45v,2,
26,Neis miedi meſt nuit oſcure,1,l-45v-2-4,45v,2,
27,De celui oeil,1,l-45v-2-5,45v,2,
28,Et ſi nai pas qñque ie weil,1,l-45v-2-6,45v,2,
29,Dequoi ꝑfondemēt me dueil,1,l-45v-2-7,45v,2,
30,Ceſt mon damage,1,l-45v-2-8,45v,2,
31,Ne ſai ſe ſafait mō outrage,1,l-45v-2-9,45v,2,
32,Oꝛ deuendꝛe ſobꝛes ⁊ ſage,1,l-45v-2-10,45v,2,
33,Apꝛés le fet,1,l-45v-2-11,45v,2,
34,⁊ me gardeꝛai de foꝛfet,1,l-45v-2-12,45v,2,
35,Mes ce que vaut qñt ce eſt fet,1,l-45v-2-13,45v,2,
36,Tart ſui meus,1,l-45v-2-14,45v,2,
37,A tart me ſui aꝑceus,1,l-45v-2-15,45v,2,
38,Qñt ieſui ē viez las cheus,1,l-45v-2-16,45v,2,
39,Cep՚mieꝛ an.,1,l-45v-2-17,45v,2,
40,Me gart ce diex ē mō dꝛoit ſen,1,l-45v-2-18,45v,2,
41,Qⁱ pour nous ot paine ⁊ ahen,1,l-45v-2-19,45v,2,
42,Et me gart lame,1,l-45v-2-20,45v,2,
