line_no,text,lg,l_id,folio,col,speaker
1,DItes vos pate noſtres Pour toute ſaīte egliſe,1,l-148v-1-1,148v,1,
2,Car elle eſt acouchiee Et ſi ne ſcet ou giſt,1,l-148v-1-2,148v,1,
3,En nul plus poureeſtat Ne poꝛroit eſtre miſe,1,l-148v-1-3,148v,1,
4,Tant eſt fait q՚ ſus lui Chace eſt coꝛuee et pꝛiſe,1,l-148v-1-4,148v,1,
5,Et pour ce q՚ chaſcuns La de boute et dech ace,1,l-148v-1-5,148v,1,
6,Dites vos patenoſtres Q՚ diex ꝑdon li face,1,l-148v-1-6,148v,1,
7,Dites vos pate noſtres Sainte egliſe trauaille,2,l-148v-1-7,148v,1,
8,L'en la ia mis genir Au fuerre et a la paille,2,l-148v-1-8,148v,1,
9,Chaſcun du ſien apꝛis Nul n'i a qͥ li baille,2,l-148v-1-9,148v,1,
10,L'en la pert e recope Et retrenche et retaile,2,l-148v-1-10,148v,1,
11,De floꝛins a chaiere Et de floꝛins a mace,2,l-148v-1-11,148v,1,
12,Dites vos pate Q՚ diex ꝑdō li face,2,l-148v-1-12,148v,1,
13,Dites vos pate noſtres Saīte egliſe vault moꝛte,3,l-148v-1-13,148v,1,
14,Ce qu'on li a oſte Et pꝛīs de vie toꝛte,3,l-148v-2-1,148v,2,
15,Couſin n'a ne parent Qⁱ de riens la confoꝛte.,3,l-148v-2-2,148v,2,
16,Car tuit ſont eſmeü Contre lui d'une ſoꝛte,3,l-148v-2-3,148v,2,
17,L'un la boute des piez L'autre crache en ſa face,3,l-148v-2-4,148v,2,
18,Dites vos parenoſtres Q՚ diex ꝑdon li face,3,l-148v-2-5,148v,2,
19,Dites vos patenoſtres Pour/iehan l'apoſtole,4,l-148v-2-6,148v,2,
20,Qⁱ fait a gñt mouſtier De petite chapele,4,l-148v-2-7,148v,2,
21,Et d'un eueſchie .iij. C'eſt biē choſe nouuele,4,l-148v-2-8,148v,2,
22,Onq՚s mais ne ioua Papes de tel merele,4,l-148v-2-9,148v,2,
23,Eueſq՚s et abbes ∴ Enſamble ioīt ⁊ lace,4,l-148v-2-10,148v,2,
24,Dites vos patenoſtres Q՚ diex ꝑdō li face,4,l-148v-2-11,148v,2,
25,DItes vos patenoſtres Pour cardinaꝰ de /rōme,5,l-148v-2-12,148v,2,
26,Car il ſont vaillant rien Auec ce qu'il sōt home,5,l-148v-2-13,148v,2,
27,De l'autrui cure n'ont Se cen'eſt de gñt sōme,5,l-148v-2-14,148v,2,
28,Car pas ne ſont enfans Pour a paier de pōme,5,l-148v-2-15,148v,2,
29,Poꝛ ce ne veulent pas Des bꝛas c'ō les ēbꝛace,5,l-148v-2-16,148v,2,
30,Dites vos patenoſtres Q՚ diex m՚ci li face,5,l-148v-2-17,148v,2,
31,Dites vos patenoſtres Poꝛ pape ⁊ cardinaus,6,l-148v-2-18,148v,2,
32,Qⁱ ſont de tous coufouls Mais qⁱl aient dons hauls,6,l-148v-2-19,148v,2,
33,Et d'autre ꝑt pꝛieres Seront eſpeciaus,6,l-149r-1-1,149r,1,
34,Poꝛ ce meſtre antipape Et ceschardōneriaus,6,l-149r-1-2,149r,1,
35,Qⁱ contre ſainte egliſe Courent ala harache,6,l-149r-1-3,149r,1,
36,Dites vos patenoſtres Q՚ diex m՚ci li face,6,l-149r-1-4,149r,1,
37,Dites poꝛ nos p՚las Qⁱ gouu՚nent le mōde,7,l-149r-1-5,149r,1,
38,Qⁱl ſachent traire argent De la ou trop habōde,7,l-149r-1-6,149r,1,
39,Meſmem̄t poꝛ toꝰ ceulz Qⁱ mainēt vie monde,7,l-149r-1-7,149r,1,
40,Et p՚chent la foy Ne ne doutent v՚goigne,7,l-149r-1-8,149r,1,
41,Ne moꝛt qui leur chief nus Ne ſoit a decolace,7,l-149r-1-9,149r,1,
42,Dites vos patenoſtres Q՚ diex ꝑdon loꝛ face,7,l-149r-1-10,149r,1,
43,Pour ceulzne pꝛie l'en Des p՚las qⁱ ſe paiſſēt,8,l-149r-1-11,149r,1,
44,Et les leur riches font Noꝛriſſent ⁊ en craiſſent,8,l-149r-1-12,149r,1,
45,Et d'amendes leurs gens Cōtre raiſon exp՚ſſent,8,l-149r-1-13,149r,1,
46,Et leurs poures voiſins Terre en famine leſſent,8,l-149r-1-14,149r,1,
47,Et leſt treſoꝛs amaſſent De pierres d'eſtopace,8,l-149r-1-15,149r,1,
48,Dites vos patenoſtres Q՚ diex m՚ci li face,8,l-149r-1-16,149r,1,
49,Dites vos patenoſtres Ainſi vous enſouuiegne,9,l-149r-1-17,149r,1,
50,Poꝛ clergié ſi qu'a maīs Pires pas ne deuiēgne,9,l-149r-1-18,149r,1,
51,S'il ne veult amender En ceſt eſtat ſe tiēgne,9,l-149r-1-19,149r,1,
52,( [...]En ceſt eſtat ſe tiēgne),9,l-149r-2-1,149r,2,
53,Ie li pꝛi qu'il ne face Tant le biē qⁱl enſaigne,9,l-149r-2-2,149r,2,
54,Le dire leur ſouffiſt Sans entrer en la trace,9,l-149r-2-3,149r,2,
55,Dites vos patenoſtres Q՚ diex merci li face,9,l-149r-2-4,149r,2,
56,Pour tous officiaus Pour gens d'auocatie,10,l-149r-2-11,149r,2,
57,Poꝛ tous ˞pcurateurs Pour clers de notairrie,10,l-149r-2-12,149r,2,
58,Et pour pꝛeſtres curez Qⁱ ne ſe ſaignent mie,10,l-149r-2-13,149r,2,
59,De leurs ꝑrochianes Ꝑ ioꝛ ⁊ ꝑ nuitie,10,l-149r-2-14,149r,2,
60,Viſiter ſi qu'il aient Ouuerte la creuace,10,l-149r-2-15,149r,2,
61,Dites vos pate noſtres Q՚ diex ꝑdon li face,10,l-149r-2-16,149r,2,
62,Pour clers eſtudians Poꝛ toꝰ ceulz des enq՚ſtes,11,l-149r-2-17,149r,2,
63,Poꝛ les meſtres auſſi Qⁱ ſieent aus req՚ſtes,11,l-149r-2-18,149r,2,
64,Poꝛ aduocas ⁊ iuges Qⁱ de batent leurs teſtes,11,l-149r-2-19,149r,2,
65,Et toꝰ ioꝛs leurs maīs ōt Poꝛ pꝛēdꝛe l'argēt p՚ſtes,11,l-149r-2-20,149r,2,
66,Se en deffaut les gens chieēt Poꝛ eulz en couſtumace,11,l-149r-2-21,149r,2,
67,Dites vos patenoſtres Q՚ diex m՚ci leur face,11,l-149r-2-22,149r,2,
68,Dites vos patenoſtres Poꝛ la chācelerie,12,l-149r-2-23,149r,2,
69,Drois eſt c'ō ne l'oblie2.,12,l-149r-2-24,149r,2,
70,Q՚ v՚s noꝰ ſoit courtois1 2.Piteus ſans felōnie.,12,l-149r-2-25,149r,2,
71,1Poꝛ les phiſiciens Et ceulz de cyrurgie,12,l-149v-1-1,149v,1,
72,Que nulz en sō meſtier Vers noꝰ ſe foꝛface,12,l-149v-1-2,149v,1,
73,Dites vos patenoſtres Q՚ diex ꝑdon leur face,12,l-149v-1-3,149v,1,
74,Dites vos patenoſtres Pour ces religieus,13,l-149v-1-10,149v,1,
75,Qⁱ chaſcun anchargie Sont d'abſolutions,13,l-149v-1-11,149v,1,
76,Des oꝛ mais pou vaudꝛōt Leurs gñs executions,13,l-149v-1-12,149v,1,
77,Poꝛviure loꝛ conuient Vendꝛe poſſeſſions,13,l-149v-1-13,149v,1,
78,Poꝛ ce q՚ l'ē leur toſt Leur pain ⁊ leur fouace,13,l-149v-1-14,149v,1,
79,Dites vos patenoſtres Q՚ diex ꝑdō leur face,13,l-149v-1-15,149v,1,
80,Pour ces religieus Qui ont diſmes ⁊ rētes,14,l-149v-1-16,149v,1,
81,Dites vos patenoſtres Doucem̄t endemētres,14,l-149v-1-17,149v,1,
82,C'ont leurs coꝛps ē mouſtier Qⁱl n'aient leur entētes,14,l-149v-1-18,149v,1,
83,A celes qui ne ſont Couſines ne parētes,14,l-149v-1-19,149v,1,
84,Et ſe ꝑ fol de ſir Euure leur font homage,14,l-149v-1-20,149v,1,
85,Dites vos patenoſtres Q՚ diex m՚ci loꝛ face,14,l-149v-1-21,149v,1,
86,Pour oꝛdꝛes mēdiās Ne faultil pas pꝛier,15,l-149v-1-22,149v,1,
87,Car biē ſceuent ꝑ tout Leur pꝛofit eſpier,15,l-149v-1-23,149v,1,
88,Il pueent aſſeur Aſſez eſtudier,15,l-149v-1-24,149v,1,
