line_no,text,lg,l_id,folio,col,speaker
1,Chaſcun iour .iiij. patenoſtre,1,l-49r-1-1,49r,1,
2,Ribaut ⁊ gouliardois doient,1,l-49r-1-2,49r,1,
3,Ꝑ le pais tiex .C. denieꝛs,1,l-49r-1-3,49r,1,
4,Dont .i. ſeulz n'ē i eꝛt ia (choi) paies,1,l-49r-1-4,49r,1,
5,Et ſ'il n'en eſtoiēt aquite,1,l-49r-1-5,49r,1,
6,Il n'i donroiēt mie .i. poil d'eꝛbe,1,l-49r-1-6,49r,1,
7,Li vilains dit enſon pꝛou՚be,1,l-49r-1-7,49r,1,
8,Q՚ de gñt folie ſ'eſmaie,1,l-49r-1-8,49r,1,
9,Q˜ ſes acroit ⁊ riēs nepaie,1,l-49r-1-9,49r,1,
10,Ie di veant vꝰ oꝛendꝛoit,1,l-49r-1-10,49r,1,
11,Qⁱ aus vigneꝛōs feꝛoit dꝛoit,1,l-49r-1-11,49r,1,
12,Il deuroiēt plꝰ fñc eſtre,1,l-49r-1-12,49r,1,
13,Q՚ ch՚r necleꝛ nepꝛeſtre,1,l-49r-1-13,49r,1,
14,Sedlibeꝛanos .i. ſentieꝛ,2,l-49r-1-14,49r,1,
15,Le matin qñt moy leueꝛai,2,l-49r-1-15,49r,1,
16,P˞ tous les vigneꝛont dirai,2,l-49r-1-16,49r,1,
17,Pour les ceps qu'il ot plenté,2,l-49r-1-17,49r,1,
18,Qⁱ du vin donnēt aplenté,2,l-49r-1-18,49r,1,
19,A malo qñt mauués (noie) manoie,3,l-49r-1-19,49r,1,
20,Bon vin ſoꝛ lie ml՚t m'anoie,3,l-49r-1-20,49r,1,
21,⁊ qñt pꝛeudons le tiēt aumaīs,3,l-49r-1-21,49r,1,
22,Ie di qu'il ne vaut mie mains,3,l-49r-1-22,49r,1,
23,Amē dieus gart toute gent,4,l-49r-1-23,49r,1,
24,Qⁱ bn̄ deſpendent largement,4,l-49r-1-24,49r,1,
