line_no,text,lg,l_id,folio,col,speaker
1,COus ceulz qui volentiers Oient de dieu ꝑler,1,l-109v-2-12,109v,2,
2,Et de /ſa douce mere Qui tant ale cuer ber,1,l-109v-2-13,109v,2,
3,A ceulz qⁱ le reclaīmēt Set paier loier tieu,1,l-110r-1-1,110r,1,
4,Qⁱ nen ſe pueēt plaīdꝛe Au deꝑtir du lieu,1,l-110r-1-2,110r,1,
5,Poꝛ ce q՚ /nr՚e dame Scet paier largem̄t,2,l-110r-1-9,110r,1,
6,/Virge metez m'ētēte A mouſtrer plainem̄t,2,l-110r-1-10,110r,1,
7,Les miracles qⁱl fait. A tous cōmunemēt.,2,l-110r-1-11,110r,1,
8,Qⁱ la veulent ſeruir De cuer ꝑfaitem̄t,2,l-110r-1-12,110r,1,
9,Le chl՚r fu ia Qⁱ ot gñt h՚itage,3,l-110r-1-13,110r,1,
10,Tout l'auoit deſpendu Gaſté ⁊ mis en gage,3,l-110r-1-14,110r,1,
11,En folem̄t deſpēdꝛe Metoit tout sō uſage,3,l-110r-1-15,110r,1,
12,Mais ſa fame eſpouſee Etoit tout d'autre vſage,3,l-110r-1-16,110r,1,
13,Sage fu et coꝛtoiſe Et de bele maniere,4,l-110r-1-17,110r,1,
14,De ſeruir /nr՚e dame N'eſtoit onq՚s laniere,4,l-110r-1-18,110r,1,
15,Poure gens ſaluoit Et faiſoit bele chiere,4,l-110r-1-19,110r,1,
16,De faire des aumoſnes Eſtoit biē couſtumiere,4,l-110r-1-20,110r,1,
17,Le chl՚r faiſoit Du tout ceſtui ꝯtraire,5,l-110r-1-21,110r,1,
18,Tant haoit ſaīte ygliſe Qⁱl ne ſ'i voloit traire,5,l-110r-1-22,110r,1,
19,Ains alaſt au boꝛdel Vne folie faire,5,l-110r-1-23,110r,1,
20,Ne feïſt vne choſe Qⁱ a dieu peüſt plaire,5,l-110r-1-24,110r,1,
21,Qñt ot tout deſpendu poures fu ⁊ chetis,6,l-110r-2-1,110r,2,
22,Il fu de ſes amis A m՚ueilles hays,6,l-110r-2-2,110r,2,
23,De ſon pays ſe ꝑt Dolans ⁊ eſbahis,6,l-110r-2-3,110r,2,
24,A l'ēcōtre deli Reuint li ēnemis,6,l-110r-2-4,110r,2,
25,En guiſe d'ū bel hōme Etmoult tres biē veſtu,7,l-110r-2-5,110r,2,
26,Le chl՚r apele Biaꝰ amis q՚ qͥers tu,7,l-110r-2-6,110r,2,
27,Biē pert a tō sāblāt Q՚ tu es iraſcu,7,l-110r-2-7,110r,2,
28,Ie croi q՚ tu es poures Le tiē as deſpēdu,7,l-110r-2-8,110r,2,
29,Certes voꝰ dites voir Ie ne ſai q՚ ie face,8,l-110r-2-9,110r,2,
30,Ie n'ai ſi bō ami Qⁱ foꝛm̄t ne me chaſſe,8,l-110r-2-10,110r,2,
31,A noier ou a pēdꝛe Chaſcūs d'eulz me menace,8,l-110r-2-11,110r,2,
32,Tant ſui poures ⁊ las Ne puis leuer la face,8,l-110r-2-12,110r,2,
33,Reſpōt li ēnemis S'afier me voloies,9,l-110r-2-13,110r,2,
34,De ce ioꝛ en auant Q՚ tu m'ameneroies,9,l-110r-2-14,110r,2,
35,Ta fame eſpouſſe Iſſi en ces .ij. voies,9,l-110r-2-15,110r,2,
36,Plus q՚ n'as deſpēdu En petit tēps aroies,9,l-110r-2-16,110r,2,
