line_no,text,lg,l_id,folio,col,speaker
1,LEs biaus contes et les repꝛis,1,l-388r-1-1,388r,1,
2,Doit on aus haus hōmes de pꝛis,1,l-388r-1-2,388r,1,
3,Souuentez fois dire ⁊ repñdꝛe,1,l-388r-1-3,388r,1,
4,P˞ le bn̄ c'om ypuet apñdꝛe,1,l-388r-1-4,388r,1,
5,⁊ p˞ mouteplieꝛ l'empꝛiſſe,1,l-388r-1-5,388r,1,
6,De ceus qui ont lauoie ēpⁱſſe,1,l-388r-1-6,388r,1,
7,D'onneur la louee pꝛiſſiee,1,l-388r-1-7,388r,1,
8,Dont pꝛoueſce eſt autoꝛiſſiee,1,l-388r-1-8,388r,1,
9,⁊ tout li bon autoꝛiſſiez,1,l-388r-1-9,388r,1,
10,Qⁱ font les hardemēs pꝛiſſiez,1,l-388r-1-10,388r,1,
11,Car a toz iours los ⁊ pꝛis a.,1,l-388r-1-11,388r,1,
12,Qⁱ d'onneur l'enpꝛiſſe pꝛiſe a.,1,l-388r-1-12,388r,1,
13,Si com cil qui valeur enpꝛiſt,1,l-388r-1-13,388r,1,
14,Tant que le voiage ētrepꝛiſt,1,l-388r-1-14,388r,1,
15,D'auenir a haute pꝛoueſce,1,l-388r-1-15,388r,1,
16,Oꝛ entendez aq՚lle adꝛeſce,1,l-388r-1-16,388r,1,
17,Il ſe miſt. car p՚mieꝛemēt,1,l-388r-1-17,388r,1,
18,Deſir d'acointieꝛ hardement,1,l-388r-1-18,388r,1,
19,Lia eꝛrant vigours pꝛeſte,1,l-388r-1-19,388r,1,
20,Loꝛs ſe miſt qu'il n'a areſte,1,l-388r-1-20,388r,1,
21,Ou chemin dꝛoit atrauaillieꝛ,1,l-388r-1-21,388r,1,
22,La le conuint lanuit veillieꝛ,1,l-388r-1-22,388r,1,
23,⁊ l'andemain rentreꝛ ē paine,1,l-388r-1-23,388r,1,
24,Sans ſe iour toute la ſemaīne.,1,l-388r-1-24,388r,1,
25,Q՚ pou ou noient ſerepoſſa,1,l-388r-1-25,388r,1,
26,Car a vigour sō pꝛopos a.,1,l-388r-2-1,388r,2,
27,Tout mis qⁱ l'ēſeigne ⁊ eſtruit,1,l-388r-2-2,388r,2,
28,⁊ peꝛeſce enlui li deſtruit,1,l-388r-2-3,388r,2,
29,Si que del areſteꝛ n'acure,1,l-388r-2-4,388r,2,
30,Tant que ſa ioneſcelidure,1,l-388r-2-5,388r,2,
