line_no,text,lg,l_id,folio,col,speaker
1,POurce q՚ plaisāt ſentement,1,l-396v-1-7,396v,1,
2,Font enclineꝛ l'antendemēt,1,l-396v-1-8,396v,1,
3,De iugieꝛ ſelōc ce qⁱl sētent,1,l-396v-1-9,396v,1,
4,Fait il q՚ li vouloir ſ'a ſentēt,1,l-396v-1-10,396v,1,
5,A mouſtreꝛ ꝑ dit ⁊ ꝑ euure,1,l-396v-1-11,396v,1,
6,Ce que ſentement ē cueꝛ euure,1,l-396v-1-12,396v,1,
7,⁊ pourche chaſcūs cueꝛs ſ'a sēt,1,l-396v-1-13,396v,1,
8,A ꝑleꝛ ſelonc ce qⁱl ſent,1,l-396v-1-14,396v,1,
9,Car la parole fait ſentir,1,l-396v-1-15,396v,1,
10,Ou le cueꝛ ſe veut aſentir,1,l-396v-1-16,396v,1,
11,Meſmemēt cilz qⁱ ioie eſmuet,1,l-396v-1-17,396v,1,
12,Car parole voulētieꝛs muet,1,l-396v-1-18,396v,1,
13,De cueꝛ ou ioie a demoure,1,l-396v-1-19,396v,1,
14,P˞ ce du miex ē namoure,1,l-396v-1-20,396v,1,
15,Eſpꝛins de ioie plaiſanmēt,1,l-396v-2-1,396v,2,
16,Ou dous ſeꝛuice loiaumēt,1,l-396v-2-2,396v,2,
17,D'amours ou leeſce eſt ē cloſe,1,l-396v-2-3,396v,2,
18,Eſt dꝛois qⁱl iſſi acune choſe,1,l-396v-2-4,396v,2,
19,Cueꝛ d'amourenſemēt eſpꝛis,1,l-396v-2-5,396v,2,
20,P˞ mouſtreꝛ cōmēt il eſt pꝛis,1,l-396v-2-6,396v,2,
21,Es douz las. dont am˞s ſcet pñdꝛe,1,l-396v-2-7,396v,2,
22,Ꝑ celle qui en li compñdꝛe,1,l-396v-2-8,396v,2,
23,Puet tout qñques toz bō cueꝛs pⁱſe,1,l-396v-2-9,396v,2,
24,Et pource l'amoureuſe pꝛiſſe,1,l-396v-2-10,396v,2,
25,Aura ꝑ dꝛoit ces dis anon,1,l-396v-2-11,396v,2,
26,Car q՚ doye valoir ou non,1,l-396v-2-12,396v,2,
27,En l'onneur de la belle ꝑfaite,1,l-396v-2-13,396v,2,
28,Ꝑ cui fu ceſte pꝛiſſe faite,1,l-396v-2-14,396v,2,
29,Seꝛa ces dis rimes ⁊ fais,1,l-396v-2-15,396v,2,
30,Car ces gens coꝛs eſt tout ꝑ fais,1,l-396v-2-16,396v,2,
31,Si biax qu'ap՚s lin'ieꝛt mais telx,1,l-396v-2-17,396v,2,
32,A mon petit ſans ſouffraitex,1,l-396v-2-18,396v,2,
33,Dōne auis vouloir ⁊ matire,1,l-396v-2-19,396v,2,
34,Et ſi parole par miſtieꝛe,1,l-396v-2-20,396v,2,
35,N'en ſoit veꝛs moy meue dire,1,l-396v-2-21,396v,2,
36,Q˜r c'eſt p˞ plus plaiſſāmēt dire,1,l-396v-2-22,396v,2,
37,EN auril en la ſaiſſon gaye,2,l-396v-2-23,396v,2,
38,V temps q՚ toute rien ſ'eſgaye,2,l-396v-2-24,396v,2,
39,Et touz cueꝛs aliece ſ'ueure,2,l-396v-2-25,396v,2,
40,Dont amis en valeur ſ'eſfoꝛce,2,l-396v-2-26,396v,2,
41,Q՚ nature mouſtre ſafoꝛce,2,l-396v-2-27,396v,2,
42,Q՚ ces eſpees renouelle,2,l-396v-2-28,396v,2,
43,Par chaude moiſteur ⁊ nouuelle,2,l-396v-2-29,396v,2,
44,En bois ē iardins ⁊ en chans,2,l-396v-2-30,396v,2,
45,Oiſſel ſe de duiſant ⁊ ē chaus,2,l-396v-2-31,396v,2,
46,⁊ font v՚s amours leur deuoir,2,l-396v-2-32,396v,2,
47,De qñqu'il li puent deuoir,2,l-396v-2-33,396v,2,
48,N'ia nul qui arrieꝛe ē voiſſe,2,l-396v-2-34,396v,2,
49,Li dous roſſignoz ſe rēuoiſſe,2,l-396v-2-35,396v,2,
50,Amoureuſſemēt ē chantāt,2,l-396v-2-36,396v,2,
51,⁊ bn̄ ia raiſon qñt tant,2,l-396v-2-37,396v,2,
52,De ioie eſt adont ꝑ le monde,2,l-396v-2-38,396v,2,
53,Qñt li elemēt pur ⁊ monde,2,l-397r-1-1,397r,1,
54,Donēt lieu d'ameꝛ ⁊ matieꝛe,2,l-397r-1-2,397r,1,
55,Tant eſt adont cointe latieꝛe,2,l-397r-1-3,397r,1,
56,Qⁱl ſemble qu'au ciel ait ē vie,2,l-397r-1-4,397r,1,
57,El temps ſoutieu el tēps de uie,2,l-397r-1-5,397r,1,
58,Ou toute choſe eſt en valeur,2,l-397r-1-6,397r,1,
59,Qñt dont ꝑ atrempee chaleur,2,l-397r-1-7,397r,1,
60,A tant nature la boure,2,l-397r-1-8,397r,1,
61,Q՚ le domage areſtoꝛe,2,l-397r-1-9,397r,1,
62,Qu'en yueꝛ auoit receü,2,l-397r-1-10,397r,1,
63,⁊ par le temps dōt qu'il a eu,2,l-397r-1-11,397r,1,
