line_no,text,lg,l_id,folio,col,speaker
1,LEſſier meſtuet le rimoieꝛ,1,l-25r-2-12,25r,2,
2,Car ie me doi ml՚t eſmaieꝛ,1,l-25r-2-13,25r,2,
3,Qn̄t tenu lai ſi longuement,1,l-25r-2-14,25r,2,
4,Bn̄ me doit le cueꝛ leꝛmoieꝛ,1,l-25r-2-15,25r,2,
5,Conq՚s ne me ſoi amoieꝛ,1,l-25r-2-16,25r,2,
6,A dieu ſeꝛuir ꝑfaitement,1,l-25r-2-17,25r,2,
7,Ainz aimis mō ētendemēt,1,l-25r-2-18,25r,2,
8,En geu ⁊ en eſbatement,1,l-25r-2-19,25r,2,
9,Quaīs na daīgnai ſi nos ſaumoieꝛ,1,l-25r-2-20,25r,2,
10,Se poꝛ moi neſt auiugemēt,1,l-25r-2-21,25r,2,
11,Celle ou diex pꝛiſt aombꝛem՚t,1,l-25r-2-22,25r,2,
12,Mau marchié pͥs apaiemēt,1,l-25r-2-23,25r,2,
13,Cart ſeꝛe mes aurepentir,2,l-25r-2-24,25r,2,
14,Las moi ꝯques ne ſot ſentir,2,l-25v-1-1,25v,1,
15,Mes ſes cueꝛs. quex eſt repētāce,2,l-25v-1-2,25v,1,
16,Na bn̄ faire lui a ſentir,2,l-25v-1-3,25v,1,
17,Cōmēt oſeꝛe ie tentir,2,l-25v-1-4,25v,1,
18,Qñt neis li iuſte arōt doutāce,2,l-25v-1-5,25v,1,
19,Ie touz iours ēgreſſie ma pēce,2,l-25v-1-6,25v,1,
20,Dautrui chatel dautrui ſuſtāce,2,l-25v-1-7,25v,1,
21,Cia bon cleꝛc aumiēs mētir,2,l-25v-1-8,25v,1,
22,Se ie di ceſt ꝑ ignoꝛance,2,l-25v-1-9,25v,1,
23,Q՚ ie ne ſe queſt penitance,2,l-25v-1-10,25v,1,
24,Ce ne puet pas garentir,2,l-25v-1-11,25v,1,
25,Garentir las en q՚l manieꝛe,3,l-25v-1-12,25v,1,
26,Ne me fiſt diex bōte ētieꝛe,3,l-25v-1-13,25v,1,
27,Q՚ me donna ſans ⁊ ſauoir,3,l-25v-1-14,25v,1,
28,⁊ me fiſt en ſa foꝛme chieꝛe,3,l-25v-1-15,25v,1,
29,Encoꝛ me fiſt bōte plꝰ chieꝛe,3,l-25v-1-16,25v,1,
30,Q՚ poꝛ moi volt moꝛt receuoir,3,l-25v-1-17,25v,1,
31,Sens me dōna de deceuoir,3,l-25v-1-18,25v,1,
32,Lanemi qui me velt auoir,3,l-25v-1-19,25v,1,
33,⁊ metre en la chartre p՚mieꝛe,3,l-25v-1-20,25v,1,
34,La dont nus ne ſe puet rauoir,3,l-25v-1-21,25v,1,
