line_no,text,lg,l_id,folio,col,speaker
1,EN la douce louange de la uierge pucelle,1,l-14v-1-1,14v,1,
2,Roine gloꝛieuſe marie dieu ancelle,1,l-14v-1-2,14v,1,
3,Qⁱ le dous ih՚ucriſt Nourri de mamelle,1,l-14v-1-3,14v,1,
4,Weil recoꝛdeꝛ vn dit Dont la matieꝛe eſt belle,1,l-14v-1-4,14v,1,
5,A mon cōmancemēt Depꝛi la treſoꝛiere,2,l-14v-1-5,14v,1,
6,De grace qui poꝛta La tres haute lumieꝛe,2,l-14v-1-6,14v,1,
7,Que ueꝛs ſon dous enfāt weille faire pꝛoieꝛe,2,l-14v-1-7,14v,1,
8,Que tous ceus qⁱ m'oꝛrōt Aient ioie plenieꝛe,2,l-14v-1-8,14v,1,
9,DE la uierge loiaus Qui eſt la ſouueꝛaine,3,l-14v-1-9,14v,1,
10,Qui tous les deſuoiez A leur dꝛoit poꝛt ramaine,3,l-14v-1-10,14v,1,
11,Vous dirai cōmēt voult Garentir .I. chanoinne,3,l-14v-1-11,14v,1,
12,Cil qui ſeꝛt noſtre dame Il ne peꝛt pas ſa painne,3,l-14v-1-12,14v,1,
13,LE chanoinne leſſa a faire vne folie,4,l-14v-1-13,14v,1,
14,En l'onneur de la dame Qui eſt nete et polie,4,l-14v-2-1,14v,2,
15,Mes la uierge pucelle Si ne l'oublia mie,4,l-14v-2-2,14v,2,
16,Car autieꝛs iour apꝛés Elle li ſauua la uie,4,l-14v-2-3,14v,2,
17,Si cōme ceus oꝛent Qui voudꝛont eſcouteꝛ,5,l-14v-2-4,14v,2,
18,.I. petit du chanoīne Vous leꝛon aparleꝛ,5,l-14v-2-5,14v,2,
19,Aſſes pꝛochainement I voudꝛon retoꝛneꝛ,5,l-14v-2-6,14v,2,
20,D'un chevalieꝛ gentil Vous voudꝛé recoꝛdeꝛ,5,l-14v-2-7,14v,2,
21,DE noꝛmendie eſtoit Ce eſt (bn̄) verité fine,6,l-14v-2-8,14v,2,
22,Il avoit vne dame Loialle et enterine,6,l-14v-2-9,14v,2,
23,Il en ot une fille De ſi bonne doctrine,6,l-14v-2-10,14v,2,
24,Que de ſon cueꝛ ſeꝛuoit La tres haute roine,6,l-14v-2-11,14v,2,
25,Mes la uierge roine L'en rendi bon louieꝛ,7,l-14v-2-12,14v,2,
26,De ce que fiſt ſon peꝛe Qui eſtoit chevalieꝛ,7,l-14v-2-13,14v,2,
27,Tant ſui les tournois Par ſon gñt en combꝛieꝛ,7,l-14v-2-14,14v,2,
28,Qu'il ne li demoura Palefroi ne deſtrieꝛ,7,l-14v-2-15,14v,2,
29,Tant fiſt par ſa folie Qu'il ot tout deſpendu,8,l-14v-2-16,14v,2,
30,En toute noꝛmendie N'ot vaillant .i. feſtu,8,l-14v-2-17,14v,2,
31,Nul n'ot mes de li cure Quant il ot tout perdu,8,l-14v-2-18,14v,2,
32,Sachiez qui n'a argent Il eſt trop vil tenu,8,l-14v-2-19,14v,2,
33,La dame aſon ſeingneur S'en vint ⁊ li diſt ſire,9,l-15r-1-1,15r,1,
34,Vuidon ceſte contree Tout le cueꝛ me font d'ire,9,l-15r-1-2,15r,1,
35,Le cheualier reſpont Foi que ie doi ſaint ſire,9,l-15r-1-3,15r,1,
36,Nul n'a cure de nous Plus ne vous ſai que dire,9,l-15r-1-4,15r,1,
