line_no,text,lg,l_id,folio,col,speaker
1,MOult fu nez de bone heure Qⁱ bien fait en ſa vie,1,l-130r-2-8,130r,2,
2,Choſe qui a dieu plaiſe Et a /ſainte marie.,1,l-130r-2-9,130r,2,
3,L'ame en a ſon loier Qñt du coꝛps eſt ꝑtie,1,l-130r-2-10,130r,2,
4,En ꝑadis ſ'enua Quant elle eſt eſpanie,1,l-130r-2-11,130r,2,
5,Cil qui en ſa ionece A bon cōmencem̄t,2,l-130r-2-12,130r,2,
6,Et il a en la fin Mauuais definem̄t,2,l-130r-2-13,130r,2,
7,La diuine eſcripture Nous dit qͥ pas ne ment,2,l-130r-2-14,130r,2,
8,Que il ſera dāpnez A paine ⁊ a tourment,2,l-130r-2-15,130r,2,
9,Mais nr՚e ſire diex Eſt ſi miſericoꝛs,3,l-130r-2-16,130r,2,
10,Cō bien q՚ li pechierres Li eſt fait de grans toꝛs,3,l-130r-2-17,130r,2,
11,S'il eſt pꝛins en biē fait Qñt l'ame ꝑt du coꝛps,3,l-130v-1-1,130v,1,
12,Tantoſt eſt des eſcrips Au dëable mis hoꝛs,3,l-130v-1-2,130v,1,
13,Ainſinc cō noꝰ trouuōs En la ſaīte eſcripture,4,l-130v-1-3,130v,1,
14,D'un moult riche bourgois Qⁱ de dieu n'auoit cure,4,l-130v-1-4,130v,1,
15,Poures gens deſpiſoit Et faiſoit gñt laidure,4,l-130v-1-5,130v,1,
16,A /rōme la cité auint Ceſte auenture,4,l-130v-1-6,130v,1,
17,Moult auoit ce bouriois Ꝑ tout gñt renōmee,5,l-130v-1-7,130v,1,
18,Et plus auoit d'auoir Q՚ nulz de la contree,5,l-130v-1-8,130v,1,
19,Mais onq՚s en ſa vie N'ot talent ne pēſee,5,l-130v-1-9,130v,1,
20,Q՚ aumoſne poꝛ dieu Feüſt ꝑ lui dōnee,5,l-130v-1-10,130v,1,
21,Une ioꝛnee auint Qⁱl ot gñt coꝛt tenue,6,l-130v-1-11,130v,1,
22,Maīte poure gent ſont A ſa poꝛte venue,6,l-130v-1-12,130v,1,
23,Pour ſ'aumoſne auoir Dedens font atendue,6,l-130v-1-13,130v,1,
24,Qñt li bourgois les voit Tout le ſanc li remue,6,l-130v-1-14,130v,1,
25,Les poures gens oÿ Qⁱ demandent du pain,7,l-130v-1-15,130v,1,
26,Q՚ moult en y auoit Qⁱ auoient grant fain,7,l-130v-1-16,130v,1,
27,Li ſires vint a lui .I. baſton en ſa main,7,l-130v-1-17,130v,1,
28,Onq՚s n'y leſſa poure Qⁱlne meiſt au plain,7,l-130v-1-18,130v,1,
29,Il leur diſt ie l'aing miex A donner a mes chiens,8,l-130v-1-19,130v,1,
30,Laidement leur enchace Ne leur a dōné riens,8,l-130v-2-1,130v,2,
31,Et l'en demain reuint .I. poures creſtiens,8,l-130v-2-2,130v,2,
32,Qⁱ pour l'amoꝛ de dieu Demanda de ſes biens,8,l-130v-2-3,130v,2,
33,LI riches hons li diſt Sire coquins truans,9,l-130v-2-4,130v,2,
34,Alez voꝰ en de cy n'i ſoiez Arreſtans.,9,l-130v-2-5,130v,2,
35,Q՚ voꝰ y poꝛriez eſtre Iusqu'a .xxxij. ans,9,l-130v-2-6,130v,2,
36,Qⁱ voꝰ y aiez riens Alez baillier aus champs,9,l-130v-2-7,130v,2,
37,Qñt li poures l'oÿ Errāment ſ'en toꝛna,10,l-130v-2-8,130v,2,
38,Si cōme il ſ'en aloit .I. ſien cōpains trouua,10,l-130v-2-9,130v,2,
39,Dites fait il biau frere Dont venez vous de la,10,l-130v-2-10,130v,2,
40,Et cil li reſpondi Ie le vous dirai ia,10,l-130v-2-11,130v,2,
41,De chiez ce gñt riche home Qui ne m'a riens dōné,11,l-130v-2-12,130v,2,
42,Ains m'a clamé truant Et moult foꝛ vilené,11,l-130v-2-13,130v,2,
43,Il n'eſt nulz qⁱ en puiſt Traire ne pain ne blé,11,l-130v-2-14,130v,2,
44,Ie metrai dit li autres Se g'y vois i'en auré,11,l-130v-2-15,130v,2,
45,Loꝛs ſ'ē toꝛne le poure A l'oſtel au riche home,12,l-130v-2-16,130v,2,
46,Qⁱ tant auoit d'auoir Que n'ē ſauoitla sōme,12,l-130v-2-17,130v,2,
47,Poꝛ dieu poꝛ /ſa m՚e Poꝛ /.s՚. ꝑe de rōme,12,l-130v-2-18,130v,2,
48,A requis au boꝛiois Q՚ de ſon pain li dōne,12,l-130v-2-19,130v,2,
49,Li riches hons le pꝛiſt tātoſt a eſcondire,13,l-131r-1-1,131r,1,
50,Ꝯ cil qⁱot le cuer Oꝛgueilleux ⁊ plain d'ire,13,l-131r-1-2,131r,1,
51,Ml՚t felōneſſement Li cōmenca a dire,13,l-131r-1-3,131r,1,
52,Dont tant de poures Q՚ diex les puiſt maudire,13,l-131r-1-4,131r,1,
53,Qñt li poures l'oÿ Errāment ſ'en toꝛna,14,l-131r-1-5,131r,1,
54,Le clarcelier encōtre Qⁱ du pain apoꝛta,14,l-131r-1-6,131r,1,
55,Qñt li poures le voit Arrieres retoꝛna,14,l-131r-1-7,131r,1,
56,Ou qⁱl voit le riche home Poꝛ dieu l'en demanda,14,l-131r-1-8,131r,1,
57,Qvant li riches hons vit Le poure reuenir,15,l-131r-1-9,131r,1,
58,.I. pain en la coꝛbeille A pꝛis ꝑ grant air,15,l-131r-1-10,131r,1,
59,Le poure hōme en cuida Ꝑmi le chief ferir,15,l-131r-1-11,131r,1,
60,Mais il ne le toucha C'il va le pain cuillir,15,l-131r-1-12,131r,1,
61,Qvant le pain fu geté Maītenant ſ'a verti,16,l-131r-1-13,131r,1,
62,Qⁱl auoit fait pechié Tantoſt ſ'en re penti,16,l-131r-1-14,131r,1,
63,Foꝛm̄t bati ſa coꝛpe Si li cria merci,16,l-131r-1-15,131r,1,
64,Au roy de ꝑadis Qⁱ onq՚s ne menti,16,l-131r-1-16,131r,1,
65,/Noſtre pere des ciex Qⁱ ſus toꝰ a puiſſāce,17,l-131r-1-17,131r,1,
66,Du riche hōme entendi La vraie repētāce,17,l-131r-1-18,131r,1,
67,De ſes pechiez li fiſt Ꝑdō ⁊ aleiance,17,l-131r-1-19,131r,1,
68,Mais nous ne deuons pas Pechier en tel fiāce,17,l-131r-2-1,131r,2,
69,Cōment qu'il otle pain Geté ꝑ felonie,18,l-131r-2-2,131r,2,
70,En fu moult liez li poures Le pain neleſſa mie,18,l-131r-2-3,131r,2,
71,Et diſt qu'il en donra A ſa poure meſniee,18,l-131r-2-4,131r,2,
72,S'en ſeront receü Car moult on poure vie,18,l-131r-2-5,131r,2,
73,Li poures hōs ſ'en toꝛne Le pain en a poꝛté,19,l-131r-2-6,131r,2,
74,Lui et ſa cōpaignie S'en ſont la nuit ſoupé,19,l-131r-2-7,131r,2,
75,Qñt il oꝛent mēgié Dieu en ont aouré,19,l-131r-2-8,131r,2,
76,Gracié l'ont de ce Que il leur a pꝛeſté,19,l-131r-2-9,131r,2,
77,Enfans diſt li pꝛeudons Oꝛ voꝰ agenoilliez,20,l-131r-2-10,131r,2,
78,Et pꝛiez poꝛ ce li Qⁱ ce pain a gaignié,20,l-131r-2-11,131r,2,
79,Q՚ li vrais diex li veille Ꝑdōner ſes pechiez,20,l-131r-2-12,131r,2,
80,Et treſtous les meffais Dont eſtoit entechiez,20,l-131r-2-13,131r,2,
81,Les enfans ſ'agenoillēt Toſt ⁊ iſnelement,21,l-131r-2-14,131r,2,
82,/Ih՚ucriſt reclamerent De cuer deuotement,21,l-131r-2-15,131r,2,
83,Qⁱ il face au boꝛiois Du ſouꝑ paiement,21,l-131r-2-16,131r,2,
84,Car du pain ont eü Aſſez ⁊ largem̄t,21,l-131r-2-17,131r,2,
85,Auſſi toſt cōme il oꝛent Loꝛoꝛoiſon finee,22,l-131r-2-18,131r,2,
86,Tres deuāt les .s՚. ciex Eſt l'oꝛoiſon alee,22,l-131r-2-19,131r,2,
