line_no,text,lg,l_id,folio,col,speaker
1,MAint dit a fait De roys de Conte,1,l-257v-1-4,257v,1,
2,/Guillot de /paris En ſon conte,1,l-257v-1-5,257v,1,
3,Les rues de /par՚ bꝛiem̄t,1,l-257v-1-6,257v,1,
4,A mis en rime oiez ꝯmēt,1,l-257v-1-7,257v,1,
5,/La rue de la chuchete a/par՚,1,l-257v-1-8,257v,1,
6,P՚miere dōt pas n'a meſpⁱs,1,l-257v-1-9,257v,1,
7,Aſes toſt trouua /ſacalie,1,l-257v-1-10,257v,1,
8,⁊ /la petute bouclerie,1,l-257v-1-11,257v,1,
9,⁊ /la gñt bouclerie ap՚s,1,l-257v-1-12,257v,1,
10,⁊ /herondale tout en p՚s,1,l-257v-1-13,257v,1,
11,Ē /la Rue pauee alé,1,l-257v-2-1,257v,2,
12,Ou a maīt viſage hale,1,l-257v-2-2,257v,2,
13,/La rue a/l'abé /.s՚. denis,1,l-257v-2-3,257v,2,
14,Siet aſes p՚s de /.s՚. denis,1,l-257v-2-4,257v,2,
15,De /la gñt rue /.s՚. g՚main,1,l-257v-2-5,257v,2,
16,Des/p՚z ſi fait /rue Gauuaī,1,l-257v-2-6,257v,2,
17,⁊ puis /la rue /.s՚. andꝛi,1,l-257v-2-7,257v,2,
18,De hoꝛs mō chemī ſ'eſtēdi,1,l-257v-2-8,257v,2,
19,Iuſq՚s en /la rue poupee,1,l-257v-2-9,257v,2,
20,Adōt ai ma voie adꝛecee,1,l-257v-2-10,257v,2,
21,Q՚ /la Rue de la barre vins,1,l-257v-2-11,257v,2,
22,⁊ en/larue a/poiteuins,1,l-257v-2-12,257v,2,
23,Ē /la rue de la ſerpent,1,l-257v-2-13,257v,2,
24,De ce de riens ne me repēt,1,l-257v-2-14,257v,2,
25,Ē /larue de la platriere,1,l-257v-2-15,257v,2,
26,La maīt vne dame loudiere,1,l-257v-2-16,257v,2,
27,Qui maint chapel A fait de fueille,1,l-257v-2-17,257v,2,
28,Ꝑ /la rue de haute feulle,1,l-257v-2-18,257v,2,
29,Ving en /la Rue De champ petit,1,l-257v-2-19,257v,2,
30,⁊ au deſus eſt .i. petit,1,l-257v-2-20,257v,2,
31,/La rue du puon vraiem̄t,1,l-257v-2-21,257v,2,
32,Ie deſcendi tout belem̄t,1,l-257v-2-22,257v,2,
33,Droit a/larue descoꝛdeles,1,l-257v-2-23,257v,2,
34,Dames ia le deſcoꝛd d'elles,1,l-257v-2-24,257v,2,
35,Ne voudꝛoie auoir Nullement,1,l-257v-2-25,257v,2,
36,Ie m'en alai tout Simplement,1,l-257v-2-26,257v,2,
37,D'iluecques au /palais De termes,1,l-257v-2-27,257v,2,
38,Ou il a celiers ⁊ cit՚nes,1,l-257v-2-28,257v,2,
39,En celle rue amainte court,1,l-257v-2-29,257v,2,
40,/La rue aus hoirs de Harecourt,1,l-257v-2-30,257v,2,
41,/La rue pierre ſarrazin,1,l-257v-2-31,257v,2,
42,Ou l'en eſſai maīt rōcin,1,l-257v-2-32,257v,2,
43,Chaſcun an Comment Con le hape,1,l-258r-1-1,258r,1,
44,Ꝯtreual /rue de le harpe,1,l-258r-1-2,258r,1,
45,Ving en /la rue /.s՚. ſeuring,1,l-258r-1-3,258r,1,
46,⁊ tāt fiſt c'au carefour vīg,1,l-258r-1-4,258r,1,
47,/La gñt rue trouuai bꝛiem̄t,1,l-258r-1-5,258r,1,
48,De la entrai pꝛemierem̄t,1,l-258r-1-6,258r,1,
49,Trouuai /la rue as eſcriuaīs,1,l-258r-1-7,258r,1,
50,De chemin՚ ne fu pas vains,1,l-258r-1-8,258r,1,
51,Ē /la petite ruelete,1,l-258r-1-9,258r,1,
52,/S՚. ſeurin mainte Meſchinnete,1,l-258r-1-10,258r,1,
53,Si iouent ſouuēt ⁊ menu,1,l-258r-1-11,258r,1,
54,⁊ font batre le trou velu,1,l-258r-1-12,258r,1,
55,Des feſſeriaus q՚ q՚ nꝰ die,1,l-258r-1-13,258r,1,
56,Ē /larue /Erembourc de /bꝛie,1,l-258r-1-14,258r,1,
57,Alai ⁊ en /la rue o /fain,1,l-258r-1-15,258r,1,
58,De cheminer ne fupas vain,1,l-258r-1-16,258r,1,
59,Vne fem̄e vi batre lin,1,l-258r-1-17,258r,1,
60,Ꝑ /la rue /.s՚. Mathelin,1,l-258r-1-18,258r,1,
61,Ē /l'en cloiſtre m'ē retourne,1,l-258r-1-19,258r,1,
62,/.S՚ beneoit le beſtourne,1,l-258r-1-20,258r,1,
63,Ē la rue as hoirs de /ſabōnes,1,l-258r-1-21,258r,1,
64,A .ij. poꝛtes belles ⁊ bōnes,1,l-258r-1-22,258r,1,
65,/La rue a l'abbee de /cligny,1,l-258r-1-23,258r,1,
66,⁊ /la rue au ſeign՚ d'/igny,1,l-258r-1-24,258r,1,
67,Sont p՚s de /la rue o /coꝛbel,1,l-258r-1-25,258r,1,
68,De ſus ſiet /larue o /ponel,1,l-258r-1-26,258r,1,
69,⁊ /la rue acoꝛdiers ap՚z,1,l-258r-1-27,258r,1,
70,Qⁱ des /iacopins ſiet bn̄ p՚z,1,l-258r-1-28,258r,1,
71,Ē ꝯtre eſt /rue /.s՚. eſtienne,1,l-258r-1-29,258r,1,
72,Que diex en ſa grace noꝰ Tiengne.,1,l-258r-1-30,258r,1,
73,Q՚ de ſ'amour aions mātel,1,l-258r-1-31,258r,1,
74,Loꝛs deſcendi en /fres Mantel,1,l-258r-1-32,258r,1,
75,Ē /la rue de l'/oſeroie,1,l-258r-1-33,258r,1,
76,Ne ſai ꝯment ie deſuouroie,1,l-258r-1-34,258r,1,
77,Ce ꝯq՚s nul iour ne voue,1,l-258r-2-1,258r,2,
78,Ne a paſq՚s ne anoue,1,l-258r-2-2,258r,2,
79,Ē /la rue de /l'oſpital,1,l-258r-2-3,258r,2,
80,Ving vne fem̄e ideſpital,1,l-258r-2-4,258r,2,
81,Vne autre fem̄e folem̄t,1,l-258r-2-5,258r,2,
82,De ſa ꝑole ml՚t vilm̄t,1,l-258r-2-6,258r,2,
83,/La rue de la chaueterie,1,l-258r-2-7,258r,2,
84,Trouuai n'alai pas /Chiés marie,1,l-258r-2-8,258r,2,
85,Ē /rue /s՚ ſyphoꝛien,1,l-258r-2-9,258r,2,
86,Ou mainguēt lilogipcien,1,l-258r-2-10,258r,2,
87,Ē p՚s eſt /la rue dumoine,1,l-258r-2-11,258r,2,
