line_no,text,lg,l_id,folio,col,speaker
1,Une auanture m՚ueilleuſe,1,l-246v-2-11,246v,2,
2,Q՚ al'ouir eſt ml՚t piteuſe,1,l-246v-2-12,246v,2,
3,auint l'autͤ hier ē/noꝛm̄die,1,l-246v-2-13,246v,2,
4,De .iij. dames dōt amoureuſe,1,l-246v-2-14,246v,2,
5,Chaſcūne eſtoit conuoiteuſe,1,l-246v-2-15,246v,2,
6,Demaintenir uie iolye,1,l-246v-2-16,246v,2,
7,D'autre riens n'auoient enuie,1,l-246v-2-17,246v,2,
8,Car chaſcūne quidoit enuie,1,l-246v-2-18,246v,2,
9,Manoir tous iours mes trop cͧeuſe,1,l-246v-2-19,246v,2,
10,Auanture loꝛ; fu baillie,1,l-246v-2-20,246v,2,
