line_no,text,lg,l_id,folio,col,speaker
1,L'Autrieꝛ ꝑ .I. matin Al'entree de moy,1,l-102r-2-7,102r,2,
2,Entre en .I. jardin P˞ joueꝛ ialai,1,l-102r-2-8,102r,2,
3,.I. petit m'acoſtai De ſoz vne aube eſpine,1,l-102r-2-9,102r,2,
4,Eſcript en ꝑchemin .I. liure itrouai,1,l-102r-2-10,102r,2,
5,IE lui duc en lafin Ml՚t durem̄t l'amai,2,l-102r-2-11,102r,2,
6,Le nō de ce liuret Ne la fui Ie ne ſai,2,l-102r-2-12,102r,2,
7,Oꝛ me ſui poꝛpenſe Ꝯment l'apeleꝛai,2,l-102r-2-13,102r,2,
8,C'eſt la vie du monde Einſi le bautiſai,2,l-102r-2-14,102r,2,
9,SAinte yglieſe ſe plaīt Ce n'eſt mie m՚ueille,3,l-102r-2-15,102r,2,
10,Chaſcū de gueꝛroieꝛ Contre lui ſ'aꝑeille,3,l-102r-2-16,102r,2,
11,Elle eſt en gñt,3,l-102r-2-17,102r,2,
12,Peꝛeil. ſe diex Ne la ꝯſeille,3,l-102r-2-18,102r,2,
13,Pvis que Ioſtice cloche ⁊ dꝛoit pant es encline,4,l-102v-1-1,102v,1,
14,⁊ loyauté chancelle ⁊ veꝛité definne,4,l-102v-1-2,102v,1,
15,⁊ charité refroide ⁊ foi faut ⁊ afine,4,l-102v-1-3,102v,1,
16,Ie di que n'a v monde Fondement ne racine,4,l-102v-1-4,102v,1,
17,Fauſe marchandiſe eſt Couu՚te en vſure,5,l-102v-1-5,102v,1,
18,⁊ chaſte ſi eſt miſe Arrieꝛe poꝛ luxure,5,l-102v-1-6,102v,1,
19,Chaſcū aime le coꝛs ⁊ de l'ame n'a cure,5,l-102v-1-7,102v,1,
20,Oꝛ ſachiez que le monde Eſt en grant auenture,5,l-102v-1-8,102v,1,
21,ONques mes ne fu tant De grans pꝛeſcheeurs,6,l-102v-1-9,102v,1,
22,⁊ ſi ne peꝛt au ſiecle Trop eſt des pecheeurs,6,l-102v-1-10,102v,1,
23,Qⁱ ſont touz auueglez Auſi ꝯme li ours,6,l-102v-1-11,102v,1,
24,⁊ fuient en enfeꝛ Les galoz ⁊ les cours,6,l-102v-1-12,102v,1,
