line_no,text,lg,l_id,folio,col,speaker
1,NE ſai aquoi gentis homs penſe,1,l-281r-2-42,281r,2,
2,Qui vilain charge ſa deſpenſe,1,l-281r-2-43,281r,2,
3,Vilains de cuer de mal poꝛpens,1,l-281r-2-44,281r,2,
4,Ycis ne puet vëoir deſpens.,1,l-281r-2-45,281r,2,
5,Ainz ſamble ꝯ l'amaine pēdꝛe,1,l-281v-1-1,281v,1,
6,Qñt il voit ſon ſeignoꝛ deſpēdꝛe,1,l-281v-1-2,281v,1,
7,P˞ faire honn˞ ſon mal penſer,1,l-281v-1-3,281v,1,
8,N'en puet couurir audeſpenſer,1,l-281v-1-4,281v,1,
9,Car chiere enfait triſte ⁊ pēſiue,1,l-281v-1-5,281v,1,
10,Sin'eſt nus qⁱ le deſpens ſiue,1,l-281v-1-6,281v,1,
11,Ne l'en hace tant va pensāt,1,l-281v-1-7,281v,1,
12,D'oꝛdure eſt deſpers deſpēsāt,1,l-281v-1-8,281v,1,
13,Car fuſt il es maīs du pēdeur,1,l-281v-1-9,281v,1,
14,Qⁱ ne puet vëoir deſpendeur,1,l-281v-1-10,281v,1,
15,Bn̄ het en honn˞ deſpendus,1,l-281v-1-11,281v,1,
16,Vilains deſpenſiers ſoit pēdꝰ,1,l-281v-1-12,281v,1,
17,Car ia honno˞ ne penſera,1,l-281v-1-13,281v,1,
18,En tout ce qu'il deſpenſera,1,l-281v-1-14,281v,1,
19,Tnat avilaine lapensee,1,l-281v-1-15,281v,1,
20,En oꝛdure faire apensee,1,l-281v-1-16,281v,1,
21,Qⁱ ꝑ ſon mal apenſem̄t,1,l-281v-1-17,281v,1,
22,Fait ſi vilains deſpenſem̄t,1,l-281v-1-18,281v,1,
23,Qⁱl n'entra en ſa deſpenſe ier,1,l-281v-1-19,281v,1,
24,Ne hui nus qⁱ le deſpenſier,1,l-281v-1-20,281v,1,
25,Ne hace ⁊ dit ſ'on le pendoit,1,l-281v-1-21,281v,1,
26,Ce ſeroit pꝛex ſ'il deſpendoit,1,l-281v-1-22,281v,1,
27,Le ſien maīt mal ſeroit pēsāz,1,l-281v-1-23,281v,1,
28,Qñt il l'autrui eſt deſpēſanz,1,l-281v-1-24,281v,1,
29,Qⁱ recreaument le deſpent,1,l-281v-1-25,281v,1,
30,A sō cuer toute oꝛdure apent,1,l-281v-1-26,281v,1,
31,Qⁱ ainſi le va deſpendant,1,l-281v-1-27,281v,1,
32,Il va tout adez le pendant,1,l-281v-1-28,281v,1,
33,Pendus ſoit sāz deſpendem̄t,1,l-281v-1-29,281v,1,
34,Qⁱ fait vilain deſpendem̄t,1,l-281v-1-30,281v,1,
35,Dont on le ſoulzaide pendu,1,l-281v-1-31,281v,1,
36,Vilainem̄t a deſpendu,1,l-281v-1-32,281v,1,
37,Les bn̄s dont il eſt deſpenſins,1,l-281v-1-33,281v,1,
38,Car auilonie eſt penſins,1,l-281v-1-34,281v,1,
39,Ꝯ vilains demal apenſez,1,l-281v-1-35,281v,1,
40,A autrui deſpenz deſpenſez,1,l-281v-1-36,281v,1,
