line_no,text,lg,l_id,folio,col,speaker
1,Par vn mardi aupoint duiour,1,l-390r-2-1,390r,2,
2,Meleuai qu'ains ne fis ſeiour,1,l-390r-2-2,390r,2,
3,L'an .xxx. ou moys de juing,1,l-390r-2-3,390r,2,
4,Si m'en aloie tout ē juing,1,l-390r-2-4,390r,2,
5,Ꝑmi .i. veꝛgieꝛ veꝛdoient,1,l-390r-2-5,390r,2,
6,Et le chant d'ū oiſſel ſuiuāt,1,l-390r-2-6,390r,2,
7,Qⁱ ml՚t me faiſſoit eſioir,1,l-390r-2-7,390r,2,
8,Car gracieus ieꝛt al'ouir,1,l-390r-2-8,390r,2,
9,De bꝛanche en bꝛanche voletoit,1,l-390r-2-9,390r,2,
10,Et de chanteꝛ ſ'es ioiſſoit,1,l-390r-2-10,390r,2,
11,Si foꝛment qu'a sō ioli ſon,1,l-390r-2-11,390r,2,
12,M'endoꝛmi deſous .i. buiſſō,1,l-390r-2-12,390r,2,
13,C'onq՚s l'oiſſelet n'eſloinguai,1,l-390r-2-13,390r,2,
14,Mais en cel doꝛmir mesōgay,1,l-390r-2-14,390r,2,
15,Q՚ ie eſtoie a/bec oiſſel,1,l-390r-2-15,390r,2,
16,Ou /.kl՚. ⁊ maīt damoiſſel,1,l-390r-2-16,390r,2,
17,Ieꝛent alez eſbanoieꝛ,1,l-390r-2-17,390r,2,
18,La trouuai deſous .i. ioiſieꝛ,1,l-390r-2-18,390r,2,
19,Seant aſſez pꝛés delapoꝛte,1,l-390r-2-19,390r,2,
20,Raiſon vne dame qui poꝛte,1,l-390r-2-20,390r,2,
21,Toute honneur ē li depoꝛtāt,1,l-390r-2-21,390r,2,
22,Qⁱ ml՚t ſ'aloit deſcōfoꝛtant,1,l-390r-2-22,390r,2,
23,Car meſdis lapute poꝛtee,1,l-390r-2-23,390r,2,
24,De /court roumaī. l'ot hoꝛs poꝛtee,1,l-390v-1-1,390v,1,
25,Oꝛ c'eſt chiez le conte ē batue,1,l-390v-1-2,390v,1,
26,Triſte dolente ⁊ iracue,1,l-390v-1-3,390v,1,
27,P˞ lui garantir aſa court,1,l-390v-1-4,390v,1,
28,Mais elle amoi tātoſt acourt,1,l-390v-1-5,390v,1,
29,Ambedeus les iex leꝛmoiāt,1,l-390v-1-6,390v,1,
30,⁊ ſus leſiege veꝛdoiant,1,l-390v-1-7,390v,1,
31,Sous vne ante defruit chargie,1,l-390v-1-8,390v,1,
32,S'aſiſt les moy ꝑ ꝯpaignie,1,l-390v-1-9,390v,1,
33,Cōme dame de bon afaire,1,l-390v-1-10,390v,1,
34,⁊ ie enpꝛis gñt ioie afaire,1,l-390v-1-11,390v,1,
35,Car ſa cō paignie oï ml՚t chieꝛe,1,l-390v-1-12,390v,1,
36,Ainſi cō ie leuai lachieꝛe,1,l-390v-1-13,390v,1,
37,Qñt l'oï recōnue au ꝑleꝛ,1,l-390v-1-14,390v,1,
38,Choiſſi deſus moi de valeꝛ,1,l-390v-1-15,390v,1,
39,Vne tāt groſſe ⁊ laide yraigne,1,l-390v-1-16,390v,1,
40,Q՚ de la hydeur ie me ſaingne,1,l-390v-1-17,390v,1,
41,Qⁱ a vne bꝛanche pendoit,1,l-390v-1-18,390v,1,
42,Ꝑ .I. fil dont elle aualoit,1,l-390v-1-19,390v,1,
43,⁊ rampoit de bas ꝯtremōt,1,l-390v-1-20,390v,1,
44,De quoi ie mem՚ueillai ml՚t,1,l-390v-1-21,390v,1,
45,Ap՚s ⁊ que ce pouoit eſtre,1,l-390v-1-22,390v,1,
46,⁊ qu'elle ieꝛt venue ē ſi bel eſtre,1,l-390v-1-23,390v,1,
47,Ainſi que le bas deſcendoit,1,l-390v-1-24,390v,1,
48,La mouſtrai raiſon demō doit,1,l-390v-1-25,390v,1,
49,Car ml՚t eſtoit laide ⁊ enflee,1,l-390v-1-26,390v,1,
50,A la mouche c'eſt refrotee,1,l-390v-1-27,390v,1,
51,Ou pꝛis ot ſon pꝛemieꝛ venin,1,l-390v-1-28,390v,1,
52,Si eſgardaſmes sō chemin,1,l-390v-1-29,390v,1,
53,Oꝛ entendez q՚lle aloit q՚rre,2,l-390v-1-30,390v,1,
54,Vn crapout venime ē t՚re,2,l-390v-1-31,390v,1,
55,Qⁱ couchiez ieꝛt ala rouſee,2,l-390v-1-32,390v,1,
56,Deſus l'eꝛbe pence enueꝛſee,2,l-390v-1-33,390v,1,
57,Pour auoir la douceur du vēt,2,l-390v-1-34,390v,1,
58,⁊ li yraigne ml՚t foꝛment,2,l-390v-1-35,390v,1,
59,De ſa pance ou pis lepiquoit,2,l-390v-1-36,390v,1,
60,Sifoꝛt q՚ tout l'enuenimoit,2,l-390v-1-37,390v,1,
61,⁊ li crapous tantoſt lecours,2,l-390v-1-38,390v,1,
62,Couroit q՚rre auplantaī ſecours,2,l-390v-2-1,390v,2,
63,Dont fait auoit ſapourueance,2,l-390v-2-2,390v,2,
64,Et y teꝛdoit poitrine ⁊ pence,2,l-390v-2-3,390v,2,
65,Tant que tous li venins iſſoit,2,l-390v-2-4,390v,2,
66,De ſon coꝛs auſin gariddoit,2,l-390v-2-5,390v,2,
67,Tan toſt qu'al'eꝛbe eſtoit frotez,2,l-390v-2-6,390v,2,
68,Eſtoit de touz maus neſtoiez,2,l-390v-2-7,390v,2,
69,Et qñt il eſtoit bn̄ gueꝛis,2,l-390v-2-8,390v,2,
70,Du raleꝛ n'eſtoit pas marris,2,l-390v-2-9,390v,2,
71,Veꝛs l'iraigne mais tout courāt,2,l-390v-2-10,390v,2,
72,S'en retoꝛnet v՚s li courāt,2,l-390v-2-11,390v,2,
73,Ainſſi les vi .iij. fois ou .iiij.,2,l-390v-2-12,390v,2,
74,En ſemble piquieꝛ ⁊ combatre,2,l-390v-2-13,390v,2,
75,Car li crapous tout dis ſ'ailloit,2,l-390v-2-14,390v,2,
76,A l'eꝛre ouil ſe refrotoit,2,l-390v-2-15,390v,2,
77,De quoi il eſtoit pour veus,2,l-390v-2-16,390v,2,
78,Mais il fu ꝑcus ⁊ veus,2,l-390v-2-17,390v,2,
79,De l'iraigne oꝛrés cōmēt,2,l-390v-2-18,390v,2,
80,Elle tray laidement,2,l-390v-2-19,390v,2,
81,Et cōme elle ot pute pensee,2,l-390v-2-20,390v,2,
82,Elle fiſt nouuelle fillee,2,l-390v-2-21,390v,2,
83,⁊ veꝛs teꝛre ius de vala,2,l-390v-2-22,390v,2,
84,Tant qu'al'eꝛbe jus ſ'a vala,2,l-390v-2-23,390v,2,
85,Si la de ſa touaille ē cloſe,2,l-390v-2-24,390v,2,
86,En tour ala reonde ⁊ moꝛſſe,2,l-390v-2-25,390v,2,
87,De ſon venin partel moꝛſure,2,l-390v-2-26,390v,2,
88,Q՚ mourir le fi ſt amoꝛt ſure,2,l-390v-2-27,390v,2,
89,Le crapout qu'elle ala remoꝛdꝛe,2,l-390v-2-28,390v,2,
90,Car qñt il ſecui da ramoꝛdꝛe,2,l-390v-2-29,390v,2,
91,A garant pour gardeꝛ de moꝛt,2,l-390v-2-30,390v,2,
92,Aleꝛ le conuint aſa moꝛt,2,l-390v-2-31,390v,2,
93,Ainſi fuil trais ⁊ moꝛs,2,l-390v-2-32,390v,2,
94,Ꝑ la moꝛſure du mal moꝛs,2,l-390v-2-33,390v,2,
95,LOꝛs demandai dame raiſon,3,l-390v-2-34,390v,2,
96,Que rendꝛe me vouſiſt raisō,3,l-390v-2-35,390v,2,
97,Pour die de ceq՚lle veoit,3,l-390v-2-36,390v,2,
98,⁊ aquoi tourneꝛ ſepouoit,3,l-390v-2-37,390v,2,
99,Freꝛe dit elle biax amis.,3,l-390v-2-38,390v,2,
100,Cilz mouſtres q՚ diex t'a tramis,3,l-391r-1-1,391r,1,
101,Mouſtre qu'ainſſi va tout limōdes,3,l-391r-1-2,391r,1,
102,Cil qui plus doiuēt eſtre mōdes,3,l-391r-1-3,391r,1,
103,Sont de mal plus abandōnez,3,l-391r-1-4,391r,1,
104,Dont li plueples eſt v՚gondez,3,l-391r-1-5,391r,1,
105,Celle yraigne q՚ voi la pendꝛe,3,l-391r-1-6,391r,1,
106,Au filet monteꝛ ⁊ deſcendꝛe,3,l-391r-1-7,391r,1,
107,Si delie que peꝛceuoir,3,l-391r-1-8,391r,1,
108,Nel puet nulz de loing ne vëoir,3,l-391r-1-9,391r,1,
109,Ce ſont li menteur traitour,3,l-391r-1-10,391r,1,
110,Qⁱ vont les grans ſeign˞s ētour,3,l-391r-1-11,391r,1,
111,De tour entour ſi toꝛnoiant,3,l-391r-1-12,391r,1,
112,Qⁱl les font viure en beſtoꝛnant,3,l-391r-1-13,391r,1,
113,Le fil qui ſi deſlie tourne,3,l-391r-1-14,391r,1,
114,C'eſt le cueꝛ couueꝛt qⁱ beſtoꝛne,3,l-391r-1-15,391r,1,
115,L'onnour abiau ſemblāt mouſtreꝛ,3,l-391r-1-16,391r,1,
116,Dont il fait maīt bn̄ beſtourneꝛ,3,l-391r-1-17,391r,1,
